Focal Animal Recording
(c)Michael J. Renner

Observer:,Pjp
Study Code:,Ass
Indiv ID:,R87085
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-26
Behavior Time:,02:43 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/26/2018 14:45:00 PM
Coding Ended:,09/26/2018 14:50:13 PM
Session duration:,00:05:13
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Pjp,R87085,Sunny,,2018-9-26,1.0.37.0,Inactive,02:45:00,00:01:11.4856795,00:01:11.4856795
Pjp,R87085,Sunny,,2018-9-26,1.0.37.0,Groom,02:46:12,00:00:06.4222420,00:01:17.9079215
Pjp,R87085,Sunny,,2018-9-26,1.0.37.0,Inactive,02:46:18,00:00:39.4546719,00:01:57.3625934
Pjp,R87085,Sunny,,2018-9-26,1.0.37.0,Scratch,02:46:58,00:00:21.5207052,00:02:18.8832986
Pjp,R87085,Sunny,,2018-9-26,1.0.37.0,Inactive,02:47:19,00:02:49.5367296,00:05:08.4200282
