Focal Animal Recording
(c)Michael J. Renner

Observer:,Pjp
Study Code:,Ass
Indiv ID:,Rhas80
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-26
Behavior Time:,02:36 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/26/2018 14:37:53 PM
Coding Ended:,09/26/2018 14:43:01 PM
Session duration:,00:05:08
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Locomotion,02:37:53,00:00:14.0865386,00:00:14.0865386
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Pacing,02:38:07,00:00:05.5661122,00:00:19.6526508
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Inactive,02:38:13,00:00:18.0643869,00:00:37.7170377
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Eat/drink,02:38:31,00:00:14.1955255,00:00:51.9125632
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Scratch,02:38:45,00:00:03.3814816,00:00:55.2940448
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Eat/drink,02:38:48,00:00:51.0263425,00:01:46.3203873
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Inactive,02:39:39,00:00:34.9914725,00:02:21.3118598
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Eat/drink,02:40:14,00:00:08.0508076,00:02:29.3626674
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Inactive,02:40:22,00:00:37.6946386,00:03:07.0573060
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Eat/drink,02:41:00,00:00:09.1857058,00:03:16.2430118
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Inactive,02:41:09,00:00:14.7097279,00:03:30.9527397
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Self direct,02:41:24,00:00:03.2079492,00:03:34.1606889
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Inactive,02:41:27,00:00:30.6129195,00:04:04.7736084
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Vocal,02:41:58,00:00:02.3223757,00:04:07.0959841
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Locomotion,02:42:00,00:00:10.2624675,00:04:17.3584516
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Inactive,02:42:10,00:00:07.4293130,00:04:24.7877646
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Locomotion,02:42:18,00:00:03.8484550,00:04:28.6362196
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Inactive,02:42:22,00:00:01.0045507,00:04:29.6407703
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Scratch,02:42:23,00:00:04.0874311,00:04:33.7282014
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Inactive,02:42:27,00:00:14.2525399,00:04:47.9807413
Pjp,Rhas80,Sunny,,2018-9-26,1.0.37.0,Eat/drink,02:42:41,00:00:16.9159746,00:05:04.8967159
