Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,SAss
Indiv ID:,R13057
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2019-1-11
Behavior Time:,10:56 AM
Ethogram:,Gen behavior .csv
Coding Began:,01/11/2019 10:57:10 AM
Coding Ended:,01/11/2019 11:02:13 AM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Locomotion,10:57:10,00:00:08.7606465,00:00:08.7606465
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Jumping,10:57:19,00:00:08.2735995,00:00:17.0342460
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,10:57:27,00:00:05.2372748,00:00:22.2715208
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Jumping,10:57:32,00:00:14.8750624,00:00:37.1465832
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,10:57:47,00:00:05.3377359,00:00:42.4843191
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Jumping,10:57:53,00:00:11.6727355,00:00:54.1570546
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,10:58:04,00:00:07.7186342,00:01:01.8756888
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Jumping,10:58:12,00:00:07.0493484,00:01:08.9250372
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,10:58:19,00:00:04.1600457,00:01:13.0850829
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Jumping,10:58:23,00:00:09.4509883,00:01:22.5360712
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,10:58:33,00:00:31.1707048,00:01:53.7067760
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Locomotion,10:59:04,00:00:02.6298712,00:01:56.3366472
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,10:59:06,00:00:46.5294882,00:02:42.8661354
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Scratch,10:59:53,00:00:02.2782667,00:02:45.1444021
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,10:59:55,00:00:57.1221301,00:03:42.2665322
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Scratch,11:00:52,00:00:03.7120818,00:03:45.9786140
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,11:00:56,00:00:48.6043508,00:04:34.5829648
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Groom,11:01:45,00:00:05.1526989,00:04:39.7356637
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Self direct,11:01:50,00:00:04.6527818,00:04:44.3884455
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Locomotion,11:01:54,00:00:03.4134219,00:04:47.8018674
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,11:01:58,00:00:05.5403188,00:04:53.3421862
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Jumping,11:02:03,00:00:06.1180141,00:04:59.4602003
BNP,R13057,Sunny,,2019-1-11,1.0.37.0,Inactive,11:02:10,00:00:02.1165790,00:05:01.5767793
