Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,R09042
Obs Site:,Other Site
Obs Type:,Recorded
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-5
Behavior Time:,11:39 AM
Ethogram:,Gen behavior .csv
Coding Began:,10/11/2018 10:53:32 AM
Coding Ended:,10/11/2018 10:58:36 AM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:53:32,00:00:05.3409728,00:00:05.3409728
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Pacing,10:53:38,00:00:08.5712784,00:00:13.9122512
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:53:46,00:00:05.5545289,00:00:19.4667801
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:53:52,00:00:05.1641822,00:00:24.6309623
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Pacing,10:53:57,00:00:11.3973529,00:00:36.0283152
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:54:09,00:01:41.7476885,00:02:17.7760037
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:55:50,00:00:09.2469688,00:02:27.0229725
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:56:00,00:00:13.6785997,00:02:40.7015722
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:56:13,00:00:05.8223034,00:02:46.5238756
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:56:19,00:00:01.7880617,00:02:48.3119373
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:56:21,00:00:34.7109655,00:03:23.0229028
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:56:56,00:00:08.6416293,00:03:31.6645321
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:57:04,00:00:06.0616026,00:03:37.7261347
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:57:10,00:00:04.5752237,00:03:42.3013584
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:57:15,00:00:03.6598301,00:03:45.9611885
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:57:18,00:00:01.5900914,00:03:47.5512799
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:57:20,00:00:06.9061865,00:03:54.4574664
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:57:27,00:00:03.4532224,00:03:57.9106888
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:57:30,00:00:35.7346029,00:04:33.6452917
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:58:06,00:00:03.0929280,00:04:36.7382197
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Inactive,10:58:09,00:00:18.3038154,00:04:55.0420351
Bnp,R09042,Sunny,,2018-10-5,1.0.37.0,Locomotion,10:58:28,00:00:06.5670293,00:05:01.6090644
