Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,R13053
Obs Site:,Other Site
Obs Type:,Recorded
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-15
Behavior Time:,11:23 AM
Ethogram:,Gen behavior .csv
Coding Began:,10/13/2018 17:48:53 PM
Coding Ended:,10/13/2018 17:53:55 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:48:53,00:00:18.8207367,00:00:18.8207367
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Scratch,05:49:12,00:00:05.6692431,00:00:24.4899798
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Locomotion,05:49:18,00:00:03.2532305,00:00:27.7432103
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:49:21,00:00:04.2370672,00:00:31.9802775
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Locomotion,05:49:25,00:00:03.8963693,00:00:35.8766468
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:49:29,00:00:12.6856255,00:00:48.5622723
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Lipsmack,05:49:42,00:00:02.3891210,00:00:50.9513933
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Scratch,05:49:44,00:00:19.8693676,00:01:10.8207609
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:50:04,00:00:07.7101845,00:01:18.5309454
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Head toss,05:50:12,00:00:04.0334169,00:01:22.5643623
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:50:16,00:00:09.3381520,00:01:31.9025143
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Tactile/explore,05:50:25,00:00:14.2098982,00:01:46.1124125
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Scratch,05:50:39,00:00:06.4938156,00:01:52.6062281
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Head toss,05:50:46,00:00:01.7668719,00:01:54.3731000
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:50:47,00:00:03.9289293,00:01:58.3020293
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Head toss,05:50:51,00:00:01.9949161,00:02:00.2969454
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Scratch,05:50:53,00:00:04.4396940,00:02:04.7366394
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:50:58,00:00:23.6962947,00:02:28.4329341
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Head toss,05:51:21,00:00:01.5564082,00:02:29.9893423
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Locomotion,05:51:23,00:00:11.7253387,00:02:41.7146810
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Lipsmack,05:51:35,00:00:02.2730072,00:02:43.9876882
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:51:37,00:00:16.7174537,00:03:00.7051419
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Scratch,05:51:54,00:00:04.8846029,00:03:05.5897448
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:51:59,00:00:04.4055881,00:03:09.9953329
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Tactile/explore,05:52:03,00:00:05.8814212,00:03:15.8767541
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Head toss,05:52:09,00:00:02.0060326,00:03:17.8827867
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:52:11,00:00:03.6425798,00:03:21.5253665
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Vocal,05:52:15,00:00:01.8402253,00:03:23.3655918
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:52:16,00:00:02.0182541,00:03:25.3838459
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Vocal,05:52:18,00:00:02.1096562,00:03:27.4935021
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Lipsmack,05:52:21,00:00:00.8292588,00:03:28.3227609
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Fear Grimace,05:52:21,00:00:01.4343364,00:03:29.7570973
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Lipsmack,05:52:23,00:00:01.7889263,00:03:31.5460236
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Vocal,05:52:25,00:00:01.7919641,00:03:33.3379877
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:52:26,00:00:03.8392020,00:03:37.1771897
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Lipsmack,05:52:30,00:00:01.7217888,00:03:38.8989785
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Inactive,05:52:32,00:00:03.3456928,00:03:42.2446713
Bnp,R13053,Sunny,,2018-10-15,1.0.37.0,Head toss,05:52:35,00:00:01.2510922,00:03:43.4957635
