Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,R14014
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-1
Behavior Time:,11:59 AM
Ethogram:,Gen behavior .csv
Coding Began:,10/02/2018 09:06:11 AM
Coding Ended:,10/02/2018 09:11:13 AM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Inactive,09:06:11,00:00:51.7316965,00:00:51.7316965
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Locomotion,09:07:02,00:00:05.4714843,00:00:57.2031808
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Pacing,09:07:08,00:00:35.6696579,00:01:32.8728387
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Inactive,09:07:43,00:00:04.4018138,00:01:37.2746525
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Locomotion,09:07:48,00:00:07.2759653,00:01:44.5506178
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Inactive,09:07:55,00:00:15.0107395,00:01:59.5613573
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Locomotion,09:08:10,00:00:02.1185787,00:02:01.6799360
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Inactive,09:08:12,00:00:02.3004005,00:02:03.9803365
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Scratch,09:08:15,00:00:02.5979081,00:02:06.5782446
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Inactive,09:08:17,00:00:17.8218021,00:02:24.4000467
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Locomotion,09:08:35,00:00:05.1068727,00:02:29.5069194
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Pacing,09:08:40,00:00:08.5295696,00:02:38.0364890
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Inactive,09:08:49,00:00:11.9394897,00:02:49.9759787
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Locomotion,09:09:01,00:00:05.3178944,00:02:55.2938731
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Pacing,09:09:06,00:00:26.1878416,00:03:21.4817147
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Inactive,09:09:32,00:00:02.7332894,00:03:24.2150041
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Locomotion,09:09:35,00:00:05.9737058,00:03:30.1887099
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Pacing,09:09:41,00:00:46.7047531,00:04:16.8934630
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Inactive,09:10:27,00:00:12.2398632,00:04:29.1333262
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Locomotion,09:10:40,00:00:07.6422202,00:04:36.7755464
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Pacing,09:10:47,00:00:05.5179761,00:04:42.2935225
Bnp,R14014,Sunny,,2018-10-1,1.0.37.0,Inactive,09:10:53,00:00:18.7097744,00:05:01.0032969
