Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,R15074
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-4
Behavior Time:,02:36 PM
Ethogram:,Gen behavior .csv
Coding Began:,10/04/2018 14:37:34 PM
Coding Ended:,10/04/2018 14:42:36 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Pacing,02:37:34,00:00:17.5051379,00:00:17.5051379
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Fear Grimace,02:37:51,00:00:03.3443649,00:00:20.8495028
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Pacing,02:37:55,00:00:04.5696328,00:00:25.4191356
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Swing/spin/flip,02:37:59,00:00:02.9476841,00:00:28.3668197
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Pacing,02:38:02,00:00:10.5694322,00:00:38.9362519
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Locomotion,02:38:13,00:00:04.0989001,00:00:43.0351520
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Inactive,02:38:17,00:00:05.3883108,00:00:48.4234628
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Locomotion,02:38:22,00:00:02.2252210,00:00:50.6486838
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Inactive,02:38:24,00:00:01.6710190,00:00:52.3197028
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Locomotion,02:38:26,00:00:03.4621805,00:00:55.7818833
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Pacing,02:38:30,00:00:19.2385113,00:01:15.0203946
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Inactive,02:38:49,00:00:27.1267446,00:01:42.1471392
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Locomotion,02:39:16,00:00:05.3522691,00:01:47.4994083
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Inactive,02:39:21,00:00:15.5774958,00:02:03.0769041
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Fear Grimace,02:39:37,00:00:03.2801581,00:02:06.3570622
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Locomotion,02:39:40,00:00:01.8201537,00:02:08.1772159
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Inactive,02:39:42,00:00:11.4823098,00:02:19.6595257
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Groom,02:39:53,00:00:06.6130908,00:02:26.2726165
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Inactive,02:40:00,00:00:02.1991600,00:02:28.4717765
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Fear Grimace,02:40:02,00:00:03.4207954,00:02:31.8925719
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Inactive,02:40:06,00:00:09.5441258,00:02:41.4366977
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Locomotion,02:40:15,00:00:10.6146077,00:02:52.0513054
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Swing/spin/flip,02:40:26,00:00:01.4909110,00:02:53.5422164
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Locomotion,02:40:27,00:00:05.0308113,00:02:58.5730277
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Inactive,02:40:32,00:00:04.0783776,00:03:02.6514053
Bnp,R15074,Sunny,,2018-10-4,1.0.37.0,Locomotion,02:40:36,00:00:04.8336410,00:03:07.4850463
