Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Sass
Indiv ID:,R16030
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-16
Behavior Time:,11:26 AM
Ethogram:,Gen behavior .csv
Coding Began:,10/17/2018 10:46:19 AM
Coding Ended:,10/17/2018 10:51:20 AM
Session duration:,00:05:01
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Locomotion,10:46:19,00:00:05.3127664,00:00:05.3127664
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Pacing,10:46:24,00:00:37.2083969,00:00:42.5211633
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Swing/spin/flip,10:47:01,00:00:04.8393216,00:00:47.3604849
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Inactive,10:47:06,00:00:04.4730687,00:00:51.8335536
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Other,10:47:10,00:00:02.2259050,00:00:54.0594586
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Inactive,10:47:13,00:00:02.4096441,00:00:56.4691027
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Swing/spin/flip,10:47:15,00:00:04.4793871,00:01:00.9484898
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Locomotion,10:47:19,00:00:06.3277073,00:01:07.2761971
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Pacing,10:47:26,00:00:48.1890975,00:01:55.4652946
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Eat/drink,10:48:14,00:00:07.2532054,00:02:02.7185000
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Locomotion,10:48:21,00:00:06.6285295,00:02:09.3470295
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Inactive,10:48:28,00:00:02.6346425,00:02:11.9816720
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Locomotion,10:48:30,00:00:04.7095681,00:02:16.6912401
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Other,10:48:35,00:00:02.5282548,00:02:19.2194949
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Inactive,10:48:38,00:00:03.7158126,00:02:22.9353075
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Head toss,10:48:41,00:00:01.4471080,00:02:24.3824155
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Inactive,10:48:43,00:00:10.0639722,00:02:34.4463877
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Locomotion,10:48:53,00:00:03.6297391,00:02:38.0761268
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Tactile/explore,10:48:57,00:01:03.6550221,00:03:41.7311489
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Inactive,10:50:00,00:00:18.8600888,00:04:00.5912377
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Tactile/explore,10:50:19,00:00:22.5969559,00:04:23.1881936
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Inactive,10:50:42,00:00:03.0065460,00:04:26.1947396
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Other,10:50:45,00:00:03.1890470,00:04:29.3837866
BNP,R16030,Sunny,,2018-10-16,1.0.37.0,Inactive,10:50:48,00:00:30.8940781,00:05:00.2778647
