Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,Rh1992
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-19
Behavior Time:,11:11 AM
Ethogram:,Gen behavior .csv
Coding Began:,09/19/2018 11:17:27 AM
Coding Ended:,09/19/2018 11:22:53 AM
Session duration:,00:05:26
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:17:27,00:01:02.8922688,00:01:02.8922688
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Vocal,11:18:30,00:00:01.5740878,00:01:04.4663566
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:18:31,00:01:16.2266465,00:02:20.6930031
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Other,11:19:47,00:00:01.7406214,00:02:22.4336245
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:19:49,00:00:14.0865124,00:02:36.5201369
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Pacing,11:20:03,00:00:12.0547012,00:02:48.5748381
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:20:15,00:00:11.9850804,00:03:00.5599185
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Pacing,11:20:27,00:00:06.8654774,00:03:07.4253959
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:20:34,00:00:10.9833481,00:03:18.4087440
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Pacing,11:20:45,00:00:08.8707917,00:03:27.2795357
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:20:54,00:00:16.8839606,00:03:44.1634963
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Scratch,11:21:11,00:00:07.7248370,00:03:51.8883333
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:21:19,00:00:02.7548846,00:03:54.6432179
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Vocal,11:21:21,00:00:01.4660807,00:03:56.1092986
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:21:23,00:00:30.1252408,00:04:26.2345394
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Vocal,11:21:53,00:00:01.8362903,00:04:28.0708297
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:21:55,00:00:09.4107352,00:04:37.4815649
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Locomotion,11:22:04,00:00:03.2762325,00:04:40.7577974
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Pacing,11:22:07,00:00:07.8532239,00:04:48.6110213
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:22:15,00:00:08.1759063,00:04:56.7869276
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Scratch,11:22:24,00:00:04.0216285,00:05:00.8085561
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:22:28,00:00:16.0459934,00:05:16.8545495
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Pacing,11:22:44,00:00:02.8924756,00:05:19.7470251
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Vocal,11:22:46,00:00:02.6577792,00:05:22.4048043
Bnp,Rh1992,Sunny,,2018-9-19,1.0.37.0,Inactive,11:22:49,00:00:01.5425724,00:05:23.9473767
