Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,Rh1995
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-19
Behavior Time:,11:56 AM
Ethogram:,Gen behavior .csv
Coding Began:,09/19/2018 11:58:57 AM
Coding Ended:,09/19/2018 12:03:59 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Rh1995,Sunny,,2018-9-19,1.0.37.0,Inactive,11:58:57,00:05:01.1640027,00:05:01.1640027
