Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,Rh2451
Obs Site:,Other Site
Obs Type:,Recorded
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-15
Behavior Time:,11:44 AM
Ethogram:,Gen behavior .csv
Coding Began:,10/13/2018 18:10:10 PM
Coding Ended:,10/13/2018 18:15:12 PM
Session duration:,00:05:01
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Inactive,06:10:10,00:00:37.2776835,00:00:37.2776835
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Locomotion,06:10:48,00:00:08.0381111,00:00:45.3157946
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Sex: self other,06:10:56,00:00:04.6977902,00:00:50.0135848
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Threat,06:11:00,00:00:11.6391173,00:01:01.6527021
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Inactive,06:11:12,00:00:17.6698362,00:01:19.3225383
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Yawn,06:11:30,00:00:03.7856749,00:01:23.1082132
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Inactive,06:11:33,00:00:08.7664900,00:01:31.8747032
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Scratch,06:11:42,00:00:06.1012078,00:01:37.9759110
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Threat,06:11:48,00:00:04.9638773,00:01:42.9397883
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Inactive,06:11:53,00:00:02.9634363,00:01:45.9032246
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Tactile/explore,06:11:56,00:00:13.9068045,00:01:59.8100291
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Sex: self other,06:12:10,00:00:04.1009042,00:02:03.9109333
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Threat,06:12:14,00:00:19.4983327,00:02:23.4092660
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Inactive,06:12:34,00:00:19.0704691,00:02:42.4797351
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Other,06:12:53,00:00:03.4413397,00:02:45.9210748
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Threat,06:12:56,00:00:01.8228430,00:02:47.7439178
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Inactive,06:12:58,00:00:29.8150170,00:03:17.5589348
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Threat,06:13:28,00:00:05.1716599,00:03:22.7305947
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Sex: self other,06:13:33,00:00:06.2810956,00:03:29.0116903
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Threat,06:13:39,00:00:20.5894503,00:03:49.6011406
Bnp,Rh2451,Sunny,,2018-10-15,1.0.37.0,Inactive,06:14:00,00:01:10.8106151,00:05:00.4117557
