Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,
Indiv ID:,3h3056
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,a244acg1
Behavior Date:,2021-4-15
Behavior Time:,11:22 AM
Ethogram:,2021 Bass.csv
Coding Began:,04/15/2021 11:39:27 AM
Coding Ended:,04/15/2021 11:44:30 AM
Session duration:,00:05:02
App Version:,1.0.43.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:39:27,00:00:04.7185534,00:00:04.7185534
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:39:32,00:00:03.0907067,00:00:07.8092601
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:39:35,00:00:03.3862558,00:00:11.1955159
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:39:38,00:00:07.0311413,00:00:18.2266572
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:39:45,00:00:02.3353427,00:00:20.5619999
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:39:48,00:00:24.0234703,00:00:44.5854702
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:40:12,00:00:02.8578975,00:00:47.4433677
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:40:15,00:00:04.4049110,00:00:51.8482787
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Yawn,11:40:19,00:00:03.3006998,00:00:55.1489785
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:40:22,00:00:03.6066535,00:00:58.7556320
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:40:26,00:00:02.2191611,00:01:00.9747931
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:40:28,00:00:02.7031204,00:01:03.6779135
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:40:31,00:00:06.0021099,00:01:09.6800234
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:40:37,00:00:08.4557536,00:01:18.1357770
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:40:45,00:00:03.6580991,00:01:21.7938761
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Other,11:40:49,00:00:08.0631317,00:01:29.8570078
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Yawn,11:40:57,00:00:05.0109337,00:01:34.8679415
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:41:02,00:00:02.4364982,00:01:37.3044397
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:41:05,00:00:13.8520967,00:01:51.1565364
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:41:18,00:00:01.3009665,00:01:52.4575029
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:41:20,00:00:23.5769815,00:02:16.0344844
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:41:43,00:00:05.5032097,00:02:21.5376941
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:41:49,00:00:02.8420967,00:02:24.3797908
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:41:52,00:00:02.3782633,00:02:26.7580541
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:41:54,00:00:17.7441408,00:02:44.5021949
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Scratch,11:42:12,00:00:02.5099435,00:02:47.0121384
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Other,11:42:14,00:00:05.2798415,00:02:52.2919799
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Scratch,11:42:20,00:00:05.1562086,00:02:57.4481885
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:42:25,00:00:01.1197978,00:02:58.5679863
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:42:26,00:00:39.2430908,00:03:37.8110771
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:43:05,00:00:01.5834911,00:03:39.3945682
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:43:07,00:00:02.0167636,00:03:41.4113318
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:43:09,00:00:02.3892041,00:03:43.8005359
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:43:11,00:00:00.5765839,00:03:44.3771198
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:43:12,00:00:05.2184187,00:03:49.5955385
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:43:17,00:00:05.9482706,00:03:55.5438091
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:43:23,00:00:04.3589098,00:03:59.9027189
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:43:27,00:00:08.3175025,00:04:08.2202214
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Locomotion,11:43:35,00:00:04.0343606,00:04:12.2545820
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Scratch,11:43:40,00:00:01.3128816,00:04:13.5674636
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:43:41,00:00:07.6593635,00:04:21.2268271
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:43:48,00:00:01.5539720,00:04:22.7807991
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:43:50,00:00:19.6371825,00:04:42.4179816
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Threat/display,11:44:10,00:00:03.3089824,00:04:45.7269640
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Tactile/expl,11:44:13,00:00:03.5987265,00:04:49.3256905
ta,3h3056,Pair,a244acg1,2021-4-15,1.0.43.0,Inactive,11:44:17,00:00:12.2321550,00:05:01.5578455

BehavCode, Occurrences, totalTime
Inactive,16,00:03:20.3868274
Threat/display,10,00:00:28.3240179
Sex/self/other,0,00:00:00
Locomotion,12,00:00:38.6146333
Present,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
FearGrimace,0,00:00:00
Tactile/expl,1,00:00:03.5987265
Jumping,0,00:00:00
Scratch,3,00:00:08.9790337
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Yawn,2,00:00:08.3116335
Groom,0,00:00:00
Rock,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Headtoss,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Salute,0,00:00:00
Selfbite,0,00:00:00
Other,2,00:00:13.3429732
