Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,BNP,,,,,,,,
Study Code:,Bass2021,,,,,,,,
Indiv ID:,Rh1983,,,,,,,,
Obs Site:,Other Site,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Single,,,,,,,,
Room/Cage:,Ab120/5,,,,,,,,
Behavior Date:,4/19/21,,,,,,,,
Behavior Time:,10:41 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/19/21 10:42,,,,,,,,
Coding Ended:,4/19/21 10:47,,,,,,,,
Session duration:,0:05:01,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh1983,Single,Ab120/5,4/19/21,1.0.43.0,Inactive,10:42:29,00:41.9,00:41.9
BNP,Rh1983,Single,Ab120/5,4/19/21,1.0.43.0,Threat/display,10:43:11,00:05.0,00:46.9
BNP,Rh1983,Single,Ab120/5,4/19/21,1.0.43.0,Inactive,10:43:16,00:16.0,01:02.9
BNP,Rh1983,Single,Ab120/5,4/19/21,1.0.43.0,Threat/display,10:43:32,00:03.1,01:06.1
BNP,Rh1983,Single,Ab120/5,4/19/21,1.0.43.0,Inactive,10:43:35,03:12.2,04:18.3
BNP,Rh1983,Single,Ab120/5,4/19/21,1.0.43.0,Threat/display,10:46:47,00:01.8,04:20.1
BNP,Rh1983,Single,Ab120/5,4/19/21,1.0.43.0,Inactive,10:46:49,00:40.6,05:00.7
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,4,04:50.8,,,,,,,
Threat/display,3,00:10.0,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,0,0:00:00,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
