Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,mr,,,,,,,,
Study Code:,2021 bass,,,,,,,,
Indiv ID:,cy0966,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Single,,,,,,,,
Room/Cage:,cb22c11,,,,,,,,
Behavior Date:,4/26/21,,,,,,,,
Behavior Time:,11:20 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/26/21 11:22,,,,,,,,
Coding Ended:,4/26/21 11:27,,,,,,,,
Session duration:,0:05:05,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Locomotion,11:22:02,00:07.0,00:07.0
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Inactive,11:22:09,00:45.2,00:52.2
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Scratch,11:22:55,00:03.3,00:55.6
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Inactive,11:22:58,00:19.4,01:14.9
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Tactile/explore,11:23:17,00:04.6,01:19.5
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Inactive,11:23:22,00:46.8,02:06.3
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Scratch,11:24:09,00:08.9,02:15.2
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Scratch,11:24:18,00:02.5,02:17.7
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Inactive,11:24:20,02:17.6,04:35.4
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Eat/drink,11:26:38,00:15.7,04:51.1
mr,cy0966,Single,cb22c11,4/26/21,1.0.43.0,Inactive,11:26:53,00:10.1,05:01.2
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,5,04:19.1,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,1,00:07.0,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,1,00:15.7,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,1,00:04.6,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,3,00:14.8,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
