Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,mr,,,,,,,,
Study Code:,2021 bass,,,,,,,,
Indiv ID:,r14111,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Group,,,,,,,,
Room/Cage:,cb11c5,,,,,,,,
Behavior Date:,4/19/21,,,,,,,,
Behavior Time:,11:06 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/19/21 11:06,,,,,,,,
Coding Ended:,4/19/21 11:11,,,,,,,,
Session duration:,0:05:02,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Locomotion,11:06:49,00:05.5,00:05.5
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Inactive,11:06:55,00:07.7,00:13.2
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Threat/display,11:07:03,00:08.0,00:21.2
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Pacing,11:07:10,00:05.4,00:26.6
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Inactive,11:07:16,00:07.0,00:33.5
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Locomotion,11:07:23,00:15.4,00:48.9
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Pacing,11:07:38,01:16.0,02:04.9
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Inactive,11:08:54,00:07.8,02:12.7
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Scratch,11:09:02,00:02.6,02:15.4
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Inactive,11:09:05,01:22.6,03:38.0
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Locomotion,11:10:27,00:05.6,03:43.5
mr,r14111,Group,cb11c5,4/19/21,1.0.43.0,Inactive,11:10:33,01:17.6,05:01.1
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,5,03:02.7,,,,,,,
Threat/display,1,00:08.0,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,3,00:26.5,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,2,01:21.3,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,1,00:02.6,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
