Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,ta,,,,,,,,
Study Code:,bass,,,,,,,,
Indiv ID:,rh2916,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Single,,,,,,,,
Room/Cage:,mr1522c1,,,,,,,,
Behavior Date:,4/26/21,,,,,,,,
Behavior Time:,10:27 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/26/21 10:28,,,,,,,,
Coding Ended:,4/26/21 10:33,,,,,,,,
Session duration:,0:05:18,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Inactive,10:28:01,00:02.8,00:02.8
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Scratch,10:28:04,00:05.2,00:08.0
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Eat/drink,10:28:10,00:02.8,00:10.8
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Yawn,10:28:12,00:02.5,00:13.4
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Inactive,10:28:15,00:16.4,00:29.8
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Yawn,10:28:31,00:02.0,00:31.8
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Inactive,10:28:33,00:03.6,00:35.4
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Groom,10:28:37,01:06.8,01:42.2
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Inactive,10:29:44,00:32.7,02:15.0
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Groom,10:30:16,00:19.5,02:34.4
ta,rh2916,Single,mr1522c1,4/26/21,1.0.43.0,Inactive,10:30:36,02:26.6,05:01.1
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,5,03:22.1,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,0,0:00:00,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,1,00:02.8,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,1,00:05.2,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,2,00:04.6,,,,,,,
Groom,2,01:26.3,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
