Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,ta,,,,,,,,
Study Code:,bass,,,,,,,,
Indiv ID:,rhbn07,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Pair,,,,,,,,
Room/Cage:,mr1520c3,,,,,,,,
Behavior Date:,4/22/21,,,,,,,,
Behavior Time:,10:20 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/22/21 10:20,,,,,,,,
Coding Ended:,4/22/21 10:25,,,,,,,,
Session duration:,0:05:06,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
Notes:,groom - self ,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Groom,10:20:38,00:16.2,00:16.2
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Inactive,10:20:54,00:24.3,00:40.5
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Locomotion,10:21:18,00:01.1,00:41.6
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Inactive,10:21:19,00:04.1,00:45.8
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Yawn,10:21:23,00:01.4,00:47.1
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Inactive,10:21:25,00:18.2,01:05.3
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Yawn,10:21:43,00:01.7,01:07.0
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Inactive,10:21:44,00:13.3,01:20.2
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Locomotion,10:21:58,00:04.2,01:24.4
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Tactile/explore,10:22:02,00:09.1,01:33.5
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Locomotion,10:22:11,00:03.5,01:36.9
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Scratch,10:22:14,00:03.2,01:40.1
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Groom,10:22:18,00:21.3,02:01.4
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Scratch,10:22:39,00:01.2,02:02.6
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Groom,10:22:40,00:35.5,02:38.1
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Locomotion,10:23:16,00:01.0,02:39.1
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Inactive,10:23:17,00:11.1,02:50.1
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Groom,10:23:28,00:08.6,02:58.8
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Yawn,10:23:36,00:01.8,03:00.6
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Inactive,10:23:38,00:56.5,03:57.1
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Yawn,10:24:35,00:01.9,03:59.0
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Scratch,10:24:37,00:06.2,04:05.2
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Groom,10:24:43,00:04.2,04:09.4
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Inactive,10:24:47,00:21.3,04:30.7
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Groom,10:25:08,00:09.2,04:39.9
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Inactive,10:25:17,00:13.9,04:53.8
ta,rhbn07,Pair,mr1520c3,4/22/21,1.0.43.0,Locomotion,10:25:31,00:11.4,05:05.2
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,8,02:42.6,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,5,00:21.2,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,1,00:09.1,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,3,00:10.6,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,4,00:06.8,,,,,,,
Groom,6,01:35.0,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
