Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R04092
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab140c11
Behavior Date:,2021-5-12
Behavior Time:,11:34 AM
Ethogram:,2021 bass.csv
Coding Began:,05/12/2021 11:35:23 AM
Coding Ended:,05/12/2021 11:40:24 AM
Session duration:,00:05:00
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R04092,Pair,Ab140c11,2021-5-12,1.0.46.0,Social/play,11:35:23,00:01:32.8118705,00:01:32.8118705
BNP,R04092,Pair,Ab140c11,2021-5-12,1.0.46.0,Inactive,11:36:56,00:00:13.9821947,00:01:46.7940652
BNP,R04092,Pair,Ab140c11,2021-5-12,1.0.46.0,SocGroom,11:37:10,00:00:42.7344161,00:02:29.5284813
BNP,R04092,Pair,Ab140c11,2021-5-12,1.0.46.0,Inactive,11:37:53,00:02:30.0493561,00:04:59.5778374

BehavCode, Occurrences, totalTime
Inactive,2,00:02:44.0315508
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:42.7344161
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:01:32.8118705
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
