Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R05003
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab108c1
Behavior Date:,2021-5-14
Behavior Time:,11:12 AM
Ethogram:,2021 bass.csv
Coding Began:,05/14/2021 11:12:46 AM
Coding Ended:,05/14/2021 11:17:47 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R05003,Pair,Ab108c1,2021-5-14,1.0.46.0,Social/play,11:12:46,00:00:06.6582694,00:00:06.6582694
BNP,R05003,Pair,Ab108c1,2021-5-14,1.0.46.0,Locomotion,11:12:52,00:00:10.8767685,00:00:17.5350379
BNP,R05003,Pair,Ab108c1,2021-5-14,1.0.46.0,Pacing,11:13:03,00:00:16.2691445,00:00:33.8041824
BNP,R05003,Pair,Ab108c1,2021-5-14,1.0.46.0,Tactile/explore,11:13:20,00:01:52.8355264,00:02:26.6397088
BNP,R05003,Pair,Ab108c1,2021-5-14,1.0.46.0,SocGroom,11:15:12,00:00:17.0539017,00:02:43.6936105
BNP,R05003,Pair,Ab108c1,2021-5-14,1.0.46.0,Social/play,11:15:29,00:00:06.0824921,00:02:49.7761026
BNP,R05003,Pair,Ab108c1,2021-5-14,1.0.46.0,SocGroom,11:15:35,00:00:18.8292542,00:03:08.6053568
BNP,R05003,Pair,Ab108c1,2021-5-14,1.0.46.0,Locomotion,11:15:54,00:00:06.5079807,00:03:15.1133375
BNP,R05003,Pair,Ab108c1,2021-5-14,1.0.46.0,SocGroom,11:16:01,00:01:44.9389101,00:05:00.0522476

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:17.3847492
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,1,00:00:16.2691445
Present,0,00:00:00
Tactile/explore,1,00:01:52.8355264
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,3,00:02:20.8220660
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,2,00:00:12.7407615
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
