Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R05074
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Single
Room/Cage:,Ab165c3
Behavior Date:,2021-5-18
Behavior Time:,11:57 AM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 11:58:03 AM
Coding Ended:,05/18/2021 12:03:04 PM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R05074,Single,Ab165c3,2021-5-18,1.0.46.0,Groom,11:58:03,00:01:11.0928291,00:01:11.0928291
BNP,R05074,Single,Ab165c3,2021-5-18,1.0.46.0,Scratch,11:59:14,00:00:05.0714717,00:01:16.1643008
BNP,R05074,Single,Ab165c3,2021-5-18,1.0.46.0,Inactive,11:59:19,00:00:44.4020447,00:02:00.5663455
BNP,R05074,Single,Ab165c3,2021-5-18,1.0.46.0,Groom,12:00:03,00:02:59.9974819,00:05:00.5638274

BehavCode, Occurrences, totalTime
Inactive,1,00:00:44.4020447
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:05.0714717
Groom,2,00:04:11.0903110
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
