Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R05075
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Single
Room/Cage:,Ab165c17
Behavior Date:,2021-6-2
Behavior Time:,12:27 PM
Ethogram:,2021 bass.csv
Coding Began:,06/02/2021 12:28:47 PM
Coding Ended:,06/02/2021 12:33:48 PM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R05075,Single,Ab165c17,2021-6-2,1.0.46.0,Inactive,12:28:47,00:01:21.2242913,00:01:21.2242913
BNP,R05075,Single,Ab165c17,2021-6-2,1.0.46.0,Scratch,12:30:08,00:00:03.2094201,00:01:24.4337114
BNP,R05075,Single,Ab165c17,2021-6-2,1.0.46.0,Inactive,12:30:11,00:00:05.6215898,00:01:30.0553012
BNP,R05075,Single,Ab165c17,2021-6-2,1.0.46.0,Groom,12:30:17,00:00:37.1448272,00:02:07.2001284
BNP,R05075,Single,Ab165c17,2021-6-2,1.0.46.0,Inactive,12:30:54,00:02:53.1537676,00:05:00.3538960

BehavCode, Occurrences, totalTime
Inactive,3,00:04:19.9996487
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:03.2094201
Groom,1,00:00:37.1448272
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
