Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R07002
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab144c13
Behavior Date:,2021-6-21
Behavior Time:,12:15 PM
Ethogram:,2021 bass.csv
Coding Began:,06/21/2021 12:17:30 PM
Coding Ended:,06/21/2021 12:22:31 PM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Inactive,12:17:30,00:01:17.3254148,00:01:17.3254148
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Social/play,12:18:47,00:00:12.9550073,00:01:30.2804221
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,SocGroom,12:19:00,00:00:17.7866293,00:01:48.0670514
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Locomotion,12:19:18,00:00:10.6121412,00:01:58.6791926
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Inactive,12:19:28,00:02:00.6732688,00:03:59.3524614
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Locomotion,12:21:29,00:00:03.1165669,00:04:02.4690283
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Scratch,12:21:32,00:00:08.5727935,00:04:11.0418218
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Inactive,12:21:41,00:00:03.7648095,00:04:14.8066313
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Scratch,12:21:45,00:00:02.6810465,00:04:17.4876778
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Vocal,12:21:47,00:00:08.2087534,00:04:25.6964312
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Inactive,12:21:55,00:00:03.8944748,00:04:29.5909060
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Scratch,12:21:59,00:00:05.2948390,00:04:34.8857450
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Inactive,12:22:05,00:00:08.7027688,00:04:43.5885138
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Locomotion,12:22:13,00:00:02.6766573,00:04:46.2651711
BNP,R07002,Group,Ab144c13,2021-6-21,1.0.46.0,Inactive,12:22:16,00:00:14.3828205,00:05:00.6479916

BehavCode, Occurrences, totalTime
Inactive,6,00:03:48.7435572
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,3,00:00:16.4053654
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,3,00:00:16.5486790
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:17.7866293
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:12.9550073
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:08.2087534
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
