Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R08060
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab144c1
Behavior Date:,2021-5-20
Behavior Time:,11:10 AM
Ethogram:,2021 bass.csv
Coding Began:,05/20/2021 11:11:12 AM
Coding Ended:,05/20/2021 11:16:14 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R08060,Group,Ab144c1,2021-5-20,1.0.46.0,Social/play,11:11:12,00:01:00.0446136,00:01:00.0446136
BNP,R08060,Group,Ab144c1,2021-5-20,1.0.46.0,Vocal,11:12:13,00:00:01.5156553,00:01:01.5602689
BNP,R08060,Group,Ab144c1,2021-5-20,1.0.46.0,Inactive,11:12:14,00:03:53.8171065,00:04:55.3773754
BNP,R08060,Group,Ab144c1,2021-5-20,1.0.46.0,SocGroom,11:16:08,00:00:04.9885714,00:05:00.3659468

BehavCode, Occurrences, totalTime
Inactive,1,00:03:53.8171065
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:04.9885714
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:01:00.0446136
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:01.5156553
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
