Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R09036
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab165c23
Behavior Date:,2021-5-18
Behavior Time:,12:32 PM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 12:34:10 PM
Coding Ended:,05/18/2021 12:39:12 PM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Scratch,12:34:10,00:00:08.0086396,00:00:08.0086396
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Groom,12:34:18,00:00:07.6731128,00:00:15.6817524
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Tactile/explore,12:34:26,00:00:01.6452969,00:00:17.3270493
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Inactive,12:34:27,00:00:06.5723410,00:00:23.8993903
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Vocal,12:34:34,00:00:01.9043726,00:00:25.8037629
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Social/play,12:34:36,00:00:20.8955758,00:00:46.6993387
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Inactive,12:34:57,00:00:36.0775860,00:01:22.7769247
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Scratch,12:35:33,00:00:05.4288046,00:01:28.2057293
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Inactive,12:35:38,00:00:44.6495495,00:02:12.8552788
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Groom,12:36:23,00:00:10.2280119,00:02:23.0832907
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Social/play,12:36:33,00:00:10.7558048,00:02:33.8390955
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Inactive,12:36:44,00:00:11.5464558,00:02:45.3855513
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Groom,12:36:56,00:00:15.1562438,00:03:00.5417951
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Inactive,12:37:11,00:00:10.9820119,00:03:11.5238070
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Social/play,12:37:22,00:00:02.4698440,00:03:13.9936510
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,SocGroom,12:37:24,00:00:59.2539619,00:04:13.2476129
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Inactive,12:38:23,00:00:17.4013726,00:04:30.6489855
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,Groom,12:38:41,00:00:18.6021304,00:04:49.2511159
BNP,R09036,Pair,Ab165c23,2021-5-18,1.0.46.0,SocGroom,12:38:59,00:00:11.3837359,00:05:00.6348518

BehavCode, Occurrences, totalTime
Inactive,6,00:02:07.2293168
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:01.6452969
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:13.4374442
Groom,4,00:00:51.6594989
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,2,00:01:10.6376978
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,3,00:00:34.1212246
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:01.9043726
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
