Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,BNP,,,,,,,,
Study Code:,Bass2021,,,,,,,,
Indiv ID:,R09048,,,,,,,,
Obs Site:,Other Site,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Group,,,,,,,,
Room/Cage:,Ab142c3,,,,,,,,
Behavior Date:,5/3/21,,,,,,,,
Behavior Time:,11:09 AM,,,,,,,,
Ethogram:,2021 bass.csv,,,,,,,,
Coding Began:,5/3/21 11:10,,,,,,,,
Coding Ended:,5/3/21 11:15,,,,,,,,
Session duration:,0:05:07,,,,,,,,
App Version:,1.0.44.0,,,,,,,,
Notes:,Holding infant,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R09048,Group,Ab142c3,5/3/21,1.0.44.0,Inactive,11:10:04,01:29.1,01:29.1
BNP,R09048,Group,Ab142c3,5/3/21,1.0.44.0,Threat/display,11:11:33,00:03.3,01:32.4
BNP,R09048,Group,Ab142c3,5/3/21,1.0.44.0,Inactive,11:11:36,02:11.6,03:44.0
BNP,R09048,Group,Ab142c3,5/3/21,1.0.44.0,Threat/display,11:13:47,00:03.5,03:47.5
BNP,R09048,Group,Ab142c3,5/3/21,1.0.44.0,Inactive,11:13:51,01:13.1,05:00.6
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,3,04:53.8,,,,,,,
Threat/display,2,00:06.8,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,0,0:00:00,,,,,,,
Aggression,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
Present,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Scratch,0,0:00:00,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
SocGroom,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Cling,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
