Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R15032
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab119c33
Behavior Date:,2021-6-14
Behavior Time:,11:48 AM
Ethogram:,2021 bass.csv
Coding Began:,06/14/2021 11:49:29 AM
Coding Ended:,06/14/2021 11:54:31 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R15032,Group,Ab119c33,2021-6-14,1.0.46.0,Inactive,11:49:29,00:02:05.0736798,00:02:05.0736798
BNP,R15032,Group,Ab119c33,2021-6-14,1.0.46.0,Locomotion,11:51:34,00:00:01.9149691,00:02:06.9886489
BNP,R15032,Group,Ab119c33,2021-6-14,1.0.46.0,Inactive,11:51:36,00:00:33.9006135,00:02:40.8892624
BNP,R15032,Group,Ab119c33,2021-6-14,1.0.46.0,Tactile/explore,11:52:10,00:00:13.7859113,00:02:54.6751737
BNP,R15032,Group,Ab119c33,2021-6-14,1.0.46.0,Social/play,11:52:24,00:00:16.7167331,00:03:11.3919068
BNP,R15032,Group,Ab119c33,2021-6-14,1.0.46.0,SocGroom,11:52:40,00:01:48.8741949,00:05:00.2661017

BehavCode, Occurrences, totalTime
Inactive,2,00:02:38.9742933
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:01.9149691
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:13.7859113
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:01:48.8741949
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:16.7167331
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
