Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R15054
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab119c27
Behavior Date:,2021-6-14
Behavior Time:,11:42 AM
Ethogram:,2021 bass.csv
Coding Began:,06/14/2021 11:43:41 AM
Coding Ended:,06/14/2021 11:48:43 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R15054,Group,Ab119c27,2021-6-14,1.0.46.0,Inactive,11:43:41,00:00:09.1512907,00:00:09.1512907
BNP,R15054,Group,Ab119c27,2021-6-14,1.0.46.0,SocGroom,11:43:50,00:04:52.0722091,00:05:01.2234998

BehavCode, Occurrences, totalTime
Inactive,1,00:00:09.1512907
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:04:52.0722091
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
