Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R17082
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab119c29
Behavior Date:,2021-6-18
Behavior Time:,10:20 AM
Ethogram:,2021 bass.csv
Coding Began:,06/18/2021 10:22:10 AM
Coding Ended:,06/18/2021 10:27:11 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Locomotion,10:22:10,00:00:01.7890386,00:00:01.7890386
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Threat/display,10:22:11,00:00:01.4867541,00:00:03.2757927
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Locomotion,10:22:13,00:00:01.9130020,00:00:05.1887947
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Threat/display,10:22:15,00:00:02.6204166,00:00:07.8092113
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Locomotion,10:22:17,00:00:02.5860255,00:00:10.3952368
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Threat/display,10:22:20,00:00:03.4231944,00:00:13.8184312
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Locomotion,10:22:23,00:00:04.8188109,00:00:18.6372421
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Threat/display,10:22:28,00:00:02.7539221,00:00:21.3911642
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Locomotion,10:22:31,00:00:02.4961815,00:00:23.8873457
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Threat/display,10:22:34,00:00:01.5120207,00:00:25.3993664
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Locomotion,10:22:35,00:00:04.4669255,00:00:29.8662919
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Threat/display,10:22:40,00:00:01.2111044,00:00:31.0773963
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Locomotion,10:22:41,00:00:11.3368115,00:00:42.4142078
BNP,R17082,Pair,Ab119c29,2021-6-18,1.0.46.0,Threat/display,10:22:52,00:00:01.8946092,00:00:44.3088170
