Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,R19011
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh1c19
Behavior Date:,2021-5-12
Behavior Time:,11:01 AM
Ethogram:,2021 bass.csv
Coding Began:,05/12/2021 11:02:23 AM
Coding Ended:,05/12/2021 11:07:27 AM
Session duration:,00:05:04
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:02:23,00:00:06.9362922,00:00:06.9362922
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Threat/display,11:02:30,00:00:01.1383979,00:00:08.0746901
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:02:31,00:00:03.4600071,00:00:11.5346972
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:02:34,00:00:00.9901893,00:00:12.5248865
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Threat/display,11:02:35,00:00:02.2982227,00:00:14.8231092
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:02:37,00:00:00.7669782,00:00:15.5900874
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Vocal,11:02:38,00:00:00.8157009,00:00:16.4057883
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Threat/display,11:02:39,00:00:03.7028987,00:00:20.1086870
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Threat/display,11:02:43,00:00:02.8277378,00:00:22.9364248
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:02:46,00:00:01.2632367,00:00:24.1996615
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Threat/display,11:02:47,00:00:02.0013191,00:00:26.2009806
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Vocal,11:02:49,00:00:01.3465865,00:00:27.5475671
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:02:50,00:00:01.1739886,00:00:28.7215557
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Threat/display,11:02:51,00:00:01.0234252,00:00:29.7449809
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:02:52,00:00:01.1932575,00:00:30.9382384
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Threat/display,11:02:54,00:00:03.4366120,00:00:34.3748504
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:02:57,00:00:00.8416357,00:00:35.2164861
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:02:58,00:00:03.0154773,00:00:38.2319634
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:03:01,00:00:03.2842168,00:00:41.5161802
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:03:04,00:00:03.1279867,00:00:44.6441669
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Vocal,11:03:07,00:00:02.7125284,00:00:47.3566953
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:03:10,00:00:02.7097196,00:00:50.0664149
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Tactile/explore,11:03:13,00:00:05.8353996,00:00:55.9018145
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Scratch,11:03:19,00:00:09.3322888,00:01:05.2341033
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:03:28,00:00:06.6862306,00:01:11.9203339
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:03:35,00:00:03.2220206,00:01:15.1423545
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Tactile/explore,11:03:38,00:00:02.2741469,00:01:17.4165014
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:03:40,00:00:02.3274296,00:01:19.7439310
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:03:42,00:00:07.0847915,00:01:26.8287225
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Eat/drink,11:03:49,00:00:01.9680658,00:01:28.7967883
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Locomotion,11:03:51,00:00:02.8493951,00:01:31.6461834
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:03:54,00:00:09.4144574,00:01:41.0606408
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Selfbite,11:04:04,00:00:01.6913448,00:01:42.7519856
Js,R19011,Pair,bmqh1c19,2021-5-12,1.0.46.0,Inactive,11:04:05,00:00:03.6191177,00:01:46.3711033
