Focal Animal Recording
(c)Michael J. Renner

Observer:,js
Study Code:,2021bass
Indiv ID:,R19014
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh1c7
Behavior Date:,2021-5-10
Behavior Time:,11:42 AM
Ethogram:,2021 bass.csv
Coding Began:,05/10/2021 12:19:59 PM
Coding Ended:,05/10/2021 12:25:19 PM
Session duration:,00:05:20
App Version:,1.0.46.0
Notes:,Present to partier

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:19:59,00:00:05.0261705,00:00:05.0261705
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:20:04,00:00:05.4284312,00:00:10.4546017
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:20:09,00:00:07.1636815,00:00:17.6182832
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:20:16,00:00:04.0998149,00:00:21.7180981
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Present,12:20:20,00:00:02.8093455,00:00:24.5274436
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:20:23,00:00:02.7410799,00:00:27.2685235
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Present,12:20:26,00:00:02.7542038,00:00:30.0227273
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:20:29,00:00:04.4438172,00:00:34.4665445
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:20:33,00:00:05.6185531,00:00:40.0850976
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:20:39,00:00:10.0031283,00:00:50.0882259
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Inactive,12:20:49,00:00:10.5618931,00:01:00.6501190
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:20:59,00:00:03.3945117,00:01:04.0446307
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:21:03,00:00:03.5759506,00:01:07.6205813
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Eat/drink,12:21:06,00:00:09.1067990,00:01:16.7273803
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:21:15,00:00:02.3590184,00:01:19.0863987
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Eat/drink,12:21:18,00:00:02.2586466,00:01:21.3450453
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:21:20,00:00:04.7502750,00:01:26.0953203
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Tactile/explore,12:21:25,00:00:05.2217378,00:01:31.3170581
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Locomotion,12:21:30,00:00:01.4063719,00:01:32.7234300
js,R19014,Pair,bmqh1c7,2021-5-10,1.0.46.0,Eat/drink,12:21:31,00:00:03.3213348,00:01:36.0447648
