Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R19035
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab165c15
Behavior Date:,2021-6-2
Behavior Time:,12:21 PM
Ethogram:,2021 bass.csv
Coding Began:,06/02/2021 12:22:10 PM
Coding Ended:,06/02/2021 12:27:10 PM
Session duration:,00:05:00
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R19035,Pair,Ab165c15,2021-6-2,1.0.46.0,SocGroom,12:22:10,00:03:10.4042442,00:03:10.4042442
BNP,R19035,Pair,Ab165c15,2021-6-2,1.0.46.0,Scratch,12:25:20,00:00:06.2118280,00:03:16.6160722
BNP,R19035,Pair,Ab165c15,2021-6-2,1.0.46.0,Present,12:25:27,00:00:04.2085240,00:03:20.8245962
BNP,R19035,Pair,Ab165c15,2021-6-2,1.0.46.0,Scratch,12:25:31,00:00:03.4480009,00:03:24.2725971
BNP,R19035,Pair,Ab165c15,2021-6-2,1.0.46.0,Social/play,12:25:34,00:00:05.0650025,00:03:29.3375996
BNP,R19035,Pair,Ab165c15,2021-6-2,1.0.46.0,SocGroom,12:25:39,00:01:30.2583710,00:04:59.5959706

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,1,00:00:04.2085240
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:09.6598289
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,2,00:04:40.6626152
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:05.0650025
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
