Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R19113
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab113c17
Behavior Date:,2021-5-11
Behavior Time:,09:53 AM
Ethogram:,2021 bass.csv
Coding Began:,05/11/2021 09:54:29 AM
Coding Ended:,05/11/2021 09:59:30 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:54:29,00:00:25.5349582,00:00:25.5349582
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:54:54,00:00:07.5165363,00:00:33.0514945
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:55:02,00:00:25.8554289,00:00:58.9069234
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:55:28,00:00:13.5803562,00:01:12.4872796
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:55:41,00:00:01.7540597,00:01:14.2413393
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:55:43,00:00:02.9916861,00:01:17.2330254
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:55:46,00:00:37.5835507,00:01:54.8165761
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:56:23,00:00:09.1099788,00:02:03.9265549
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:56:33,00:00:17.5807708,00:02:21.5073257
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:56:50,00:00:04.3803900,00:02:25.8877157
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:56:55,00:00:01.9061937,00:02:27.7939094
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:56:56,00:00:01.8996179,00:02:29.6935273
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:56:58,00:00:02.6127761,00:02:32.3063034
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:57:01,00:00:01.5995013,00:02:33.9058047
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Inactive,09:57:03,00:00:05.7806106,00:02:39.6864153
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:57:08,00:00:32.9784783,00:03:12.6648936
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:57:41,00:00:01.8511463,00:03:14.5160399
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:57:43,00:00:22.3819175,00:03:36.8979574
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:58:06,00:00:05.7793440,00:03:42.6773014
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:58:11,00:00:26.0002119,00:04:08.6775133
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Locomotion,09:58:37,00:00:02.4136624,00:04:11.0911757
BNP,R19113,Group,Ab113c17,2021-5-11,1.0.46.0,Eat/drink,09:58:40,00:00:48.6941048,00:04:59.7852805

BehavCode, Occurrences, totalTime
Inactive,1,00:00:05.7806106
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,10,00:00:51.1222193
Aggression,0,00:00:00
Eat/drink,11,00:04:02.8824506
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
