Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R21043
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Single
Room/Cage:,Ab160tmp1
Behavior Date:,2021-6-22
Behavior Time:,01:35 PM
Ethogram:,2021 bass.csv
Coding Began:,06/22/2021 13:40:15 PM
Coding Ended:,06/22/2021 13:45:19 PM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Inactive,01:40:15,00:00:01.3098098,00:00:01.3098098
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Vocal,01:40:17,00:00:00.7656764,00:00:02.0754862
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Inactive,01:40:17,00:00:19.0881166,00:00:21.1636028
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Yawn,01:40:36,00:00:01.5177175,00:00:22.6813203
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Inactive,01:40:38,00:00:03.1626818,00:00:25.8440021
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Scratch,01:40:41,00:00:03.0329995,00:00:28.8770016
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Inactive,01:40:44,00:00:04.7709018,00:00:33.6479034
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Vocal,01:40:49,00:00:01.9917758,00:00:35.6396792
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Selfdirect,01:40:51,00:00:03.1943848,00:00:38.8340640
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Vocal,01:40:54,00:00:00.6562955,00:00:39.4903595
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Selfdirect,01:40:55,00:01:07.7451041,00:01:47.2354636
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Scratch,01:42:03,00:00:06.1118606,00:01:53.3473242
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Selfdirect,01:42:09,00:00:06.7222240,00:02:00.0695482
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Vocal,01:42:15,00:00:02.8003605,00:02:02.8699087
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Inactive,01:42:18,00:00:07.6730634,00:02:10.5429721
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Selfdirect,01:42:26,00:00:25.5439370,00:02:36.0869091
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Inactive,01:42:51,00:00:04.4361341,00:02:40.5230432
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Yawn,01:42:56,00:00:01.6458682,00:02:42.1689114
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Inactive,01:42:57,00:00:05.9699738,00:02:48.1388852
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Selfdirect,01:43:03,00:00:24.1181513,00:03:12.2570365
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Inactive,01:43:28,00:00:02.6383771,00:03:14.8954136
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Tactile/explore,01:43:30,00:00:23.0247773,00:03:37.9201909
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Selfdirect,01:43:53,00:00:07.0184290,00:03:44.9386199
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Locomotion,01:44:00,00:00:14.6419761,00:03:59.5805960
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Selfdirect,01:44:15,00:00:24.1030405,00:04:23.6836365
BNP,R21043,Single,Ab160tmp1,2021-6-22,1.0.46.0,Locomotion,01:44:39,00:00:39.3377622,00:05:03.0213987

BehavCode, Occurrences, totalTime
Inactive,8,00:00:49.0490584
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:53.9797383
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:23.0247773
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:09.1448601
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,2,00:00:03.1635857
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,7,00:02:38.4452707
Vocal,4,00:00:06.2141082
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
