Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R97005
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Single
Room/Cage:,Ab110c11
Behavior Date:,2021-6-11
Behavior Time:,11:19 AM
Ethogram:,2021 bass.csv
Coding Began:,06/11/2021 11:21:03 AM
Coding Ended:,06/11/2021 11:26:05 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Locomotion,11:21:03,00:00:11.6389884,00:00:11.6389884
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Inactive,11:21:15,00:00:06.3613209,00:00:18.0003093
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Locomotion,11:21:21,00:00:12.3478172,00:00:30.3481265
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Pacing,11:21:34,00:00:30.0814973,00:01:00.4296238
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Inactive,11:22:04,00:00:08.4580819,00:01:08.8877057
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Locomotion,11:22:12,00:00:04.6093058,00:01:13.4970115
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Inactive,11:22:17,00:00:02.8011018,00:01:16.2981133
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Locomotion,11:22:20,00:00:11.6378990,00:01:27.9360123
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Pacing,11:22:31,00:01:02.6363757,00:02:30.5723880
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Vocal,11:23:34,00:00:00.9959679,00:02:31.5683559
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Pacing,11:23:35,00:00:05.8082665,00:02:37.3766224
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Vocal,11:23:41,00:00:00.9338162,00:02:38.3104386
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Locomotion,11:23:42,00:00:00.6875432,00:02:38.9979818
BNP,R97005,Single,Ab110c11,2021-6-11,1.0.46.0,Pacing,11:23:42,00:02:21.3438903,00:05:00.3418721

BehavCode, Occurrences, totalTime
Inactive,3,00:00:17.6205046
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,5,00:00:40.9215536
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,4,00:03:59.8700298
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,2,00:00:01.9297841
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
