Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R98055
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab110c1
Behavior Date:,2021-6-15
Behavior Time:,10:43 AM
Ethogram:,2021 bass.csv
Coding Began:,06/15/2021 10:44:24 AM
Coding Ended:,06/15/2021 10:49:25 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Social/play,10:44:24,00:00:23.2138156,00:00:23.2138156
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Locomotion,10:44:48,00:00:02.6475399,00:00:25.8613555
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Inactive,10:44:50,00:00:10.1685313,00:00:36.0298868
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Locomotion,10:45:00,00:00:03.3847890,00:00:39.4146758
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Present,10:45:04,00:00:02.3008839,00:00:41.7155597
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,SocGroom,10:45:06,00:00:25.5393658,00:01:07.2549255
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Locomotion,10:45:32,00:00:04.1073441,00:01:11.3622696
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Present,10:45:36,00:00:02.3739322,00:01:13.7362018
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,SocGroom,10:45:38,00:00:26.4097092,00:01:40.1459110
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Scratch,10:46:05,00:00:11.3489166,00:01:51.4948276
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Threat/display,10:46:16,00:00:03.4555532,00:01:54.9503808
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Inactive,10:46:19,00:00:06.9497904,00:02:01.9001712
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Social/play,10:46:26,00:00:02.9006768,00:02:04.8008480
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Scratch,10:46:29,00:00:07.4119991,00:02:12.2128471
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Social/play,10:46:37,00:00:40.9088555,00:02:53.1217026
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,Inactive,10:47:17,00:00:08.6247892,00:03:01.7464918
BNP,R98055,Pair,Ab110c1,2021-6-15,1.0.46.0,SocGroom,10:47:26,00:01:58.4250534,00:05:00.1715452

BehavCode, Occurrences, totalTime
Inactive,3,00:00:25.7431109
Threat/display,1,00:00:03.4555532
Sex/self/other,0,00:00:00
Locomotion,3,00:00:10.1396730
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,2,00:00:04.6748161
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:18.7609157
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,3,00:02:50.3741284
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,3,00:01:07.0233479
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
