Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2538
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab140c21
Behavior Date:,2021-5-13
Behavior Time:,10:50 AM
Ethogram:,2021 bass.csv
Coding Began:,05/13/2021 10:53:57 AM
Coding Ended:,05/13/2021 10:58:59 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Groom,10:53:57,00:01:23.9443660,00:01:23.9443660
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Eat/drink,10:55:21,00:00:27.4234170,00:01:51.3677830
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Tactile/explore,10:55:49,00:00:06.3725796,00:01:57.7403626
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Inactive,10:55:55,00:00:06.9269524,00:02:04.6673150
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Locomotion,10:56:02,00:00:08.2362839,00:02:12.9035989
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Inactive,10:56:10,00:00:25.9577075,00:02:38.8613064
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Eat/drink,10:56:36,00:00:19.0114663,00:02:57.8727727
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Inactive,10:56:55,00:00:03.6676478,00:03:01.5404205
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Threat/display,10:56:59,00:00:00.7691407,00:03:02.3095612
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Inactive,10:57:00,00:00:02.3537125,00:03:04.6632737
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Threat/display,10:57:02,00:00:00.4844087,00:03:05.1476824
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Inactive,10:57:03,00:00:08.3995386,00:03:13.5472210
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Locomotion,10:57:11,00:00:04.5072028,00:03:18.0544238
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Inactive,10:57:16,00:00:28.7333344,00:03:46.7877582
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Locomotion,10:57:44,00:00:01.0047774,00:03:47.7925356
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Inactive,10:57:45,00:00:06.6131302,00:03:54.4056658
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Scratch,10:57:52,00:00:04.6733105,00:03:59.0789763
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Inactive,10:57:57,00:00:24.1384412,00:04:23.2174175
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Locomotion,10:58:21,00:00:01.3636983,00:04:24.5811158
BNP,Rh2538,Pair,Ab140c21,2021-5-13,1.0.46.0,Inactive,10:58:22,00:00:35.4515359,00:05:00.0326517

BehavCode, Occurrences, totalTime
Inactive,9,00:02:22.2420005
Threat/display,2,00:00:01.2535494
Sex/self/other,0,00:00:00
Locomotion,4,00:00:15.1119624
Aggression,0,00:00:00
Eat/drink,2,00:00:46.4348833
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:06.3725796
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:04.6733105
Groom,1,00:01:23.9443660
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
