Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2750
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab117c1
Behavior Date:,2021-6-16
Behavior Time:,11:14 AM
Ethogram:,2021 bass.csv
Coding Began:,06/16/2021 11:16:20 AM
Coding Ended:,06/16/2021 11:21:21 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:16:20,00:02:28.1889077,00:02:28.1889077
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Vocal,11:18:48,00:00:01.0942160,00:02:29.2831237
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:18:49,00:00:03.5878481,00:02:32.8709718
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Lipsmack,11:18:53,00:00:05.2220075,00:02:38.0929793
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:18:58,00:00:07.1429685,00:02:45.2359478
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Vocal,11:19:05,00:00:01.7948258,00:02:47.0307736
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:19:07,00:00:07.8723870,00:02:54.9031606
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Locomotion,11:19:15,00:00:01.2591585,00:02:56.1623191
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:19:16,00:00:07.1623576,00:03:03.3246767
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Locomotion,11:19:24,00:00:01.4510558,00:03:04.7757325
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:19:25,00:00:14.1769785,00:03:18.9527110
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Vocal,11:19:39,00:00:01.1293872,00:03:20.0820982
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:19:40,00:00:44.2916624,00:04:04.3737606
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Locomotion,11:20:25,00:00:00.9272687,00:04:05.3010293
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:20:26,00:00:21.4530144,00:04:26.7540437
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Vocal,11:20:47,00:00:01.2481942,00:04:28.0022379
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:20:48,00:00:04.8888583,00:04:32.8910962
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Scratch,11:20:53,00:00:02.2346386,00:04:35.1257348
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Lipsmack,11:20:55,00:00:05.4272023,00:04:40.5529371
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:21:01,00:00:06.4838114,00:04:47.0367485
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Present,11:21:07,00:00:02.7808876,00:04:49.8176361
BNP,Rh2750,Pair,Ab117c1,2021-6-16,1.0.46.0,Inactive,11:21:10,00:00:10.5243204,00:05:00.3419565

BehavCode, Occurrences, totalTime
Inactive,11,00:04:35.7731143
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,3,00:00:03.6374830
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,1,00:00:02.7808876
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,2,00:00:10.6492098
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:02.2346386
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,4,00:00:05.2666232
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
