Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2775
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Single
Room/Cage:,Ab167c8
Behavior Date:,2021-6-24
Behavior Time:,11:14 AM
Ethogram:,2021 bass.csv
Coding Began:,06/24/2021 11:16:54 AM
Coding Ended:,06/24/2021 11:21:55 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Inactive,11:16:54,00:01:20.6203655,00:01:20.6203655
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Groom,11:18:15,00:00:06.1660248,00:01:26.7863903
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Threat/display,11:18:21,00:00:07.8144211,00:01:34.6008114
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Inactive,11:18:29,00:00:04.2704101,00:01:38.8712215
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Threat/display,11:18:33,00:00:05.5632649,00:01:44.4344864
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Inactive,11:18:39,00:00:18.4595077,00:02:02.8939941
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Groom,11:18:57,00:00:11.9480659,00:02:14.8420600
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Inactive,11:19:09,00:00:06.6501506,00:02:21.4922106
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Threat/display,11:19:16,00:00:05.3904822,00:02:26.8826928
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Inactive,11:19:21,00:01:48.4285278,00:04:15.3112206
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Threat/display,11:21:09,00:00:03.1707148,00:04:18.4819354
BNP,Rh2775,Single,Ab167c8,2021-6-24,1.0.46.0,Inactive,11:21:13,00:00:42.0450624,00:05:00.5269978

BehavCode, Occurrences, totalTime
Inactive,6,00:04:20.4740241
Threat/display,4,00:00:21.9388830
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,2,00:00:18.1140907
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
