Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2803
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Single
Room/Cage:,Ab110c31
Behavior Date:,2021-6-4
Behavior Time:,10:50 AM
Ethogram:,2021 bass.csv
Coding Began:,06/04/2021 10:51:10 AM
Coding Ended:,06/04/2021 10:56:11 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Scratch,10:51:10,00:00:04.0813152,00:00:04.0813152
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:51:14,00:00:09.4861219,00:00:13.5674371
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Tactile/explore,10:51:24,00:00:17.0157281,00:00:30.5831652
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:51:41,00:00:17.7007944,00:00:48.2839596
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:51:58,00:00:01.7569142,00:00:50.0408738
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Feargrimace,10:52:00,00:00:02.1426397,00:00:52.1835135
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Scratch,10:52:02,00:00:02.5586482,00:00:54.7421617
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:52:05,00:00:01.8575665,00:00:56.5997282
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Feargrimace,10:52:07,00:00:01.0442261,00:00:57.6439543
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:52:08,00:00:01.9462284,00:00:59.5901827
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:52:10,00:00:01.3062614,00:01:00.8964441
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:52:11,00:00:01.3289075,00:01:02.2253516
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:52:12,00:00:16.6956337,00:01:18.9209853
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Tactile/explore,10:52:29,00:00:19.0766523,00:01:37.9976376
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:52:48,00:00:02.2994602,00:01:40.2970978
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Feargrimace,10:52:50,00:00:00.8005969,00:01:41.0976947
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:52:51,00:00:11.3041039,00:01:52.4017986
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Groom,10:53:03,00:00:04.5720922,00:01:56.9738908
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:53:07,00:00:00.7841470,00:01:57.7580378
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Groom,10:53:08,00:00:02.5076813,00:02:00.2657191
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Feargrimace,10:53:10,00:00:00.7344239,00:02:01.0001430
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:53:11,00:00:00.7349188,00:02:01.7350618
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Groom,10:53:12,00:00:39.2027013,00:02:40.9377631
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:53:51,00:00:05.4558973,00:02:46.3936604
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Feargrimace,10:53:57,00:00:00.6720369,00:02:47.0656973
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:53:57,00:00:01.9444022,00:02:49.0100995
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Feargrimace,10:53:59,00:00:00.8881950,00:02:49.8982945
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Scratch,10:54:00,00:00:09.4488400,00:02:59.3471345
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Feargrimace,10:54:09,00:00:03.2163167,00:03:02.5634512
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:54:13,00:00:01.1669171,00:03:03.7303683
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:54:14,00:00:02.4052817,00:03:06.1356500
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:54:16,00:00:01.3525271,00:03:07.4881771
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:54:18,00:00:02.8142243,00:03:10.3024014
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Eat/drink,10:54:20,00:00:02.2814949,00:03:12.5838963
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:54:23,00:00:01.6250459,00:03:14.2089422
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Feargrimace,10:54:24,00:00:01.9830402,00:03:16.1919824
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:54:26,00:00:01.0123645,00:03:17.2043469
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Inactive,10:54:27,00:00:03.2579449,00:03:20.4622918
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:54:31,00:00:00.5626868,00:03:21.0249786
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Feargrimace,10:54:31,00:00:01.4545369,00:03:22.4795155
BNP,Rh2803,Single,Ab110c31,2021-6-4,1.0.46.0,Vocal,10:54:33,00:00:00.9497371,00:03:23.4292526
