Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2816
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab110c41
Behavior Date:,2021-6-16
Behavior Time:,11:07 AM
Ethogram:,2021 bass.csv
Coding Began:,06/16/2021 11:07:57 AM
Coding Ended:,06/16/2021 11:12:58 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,SocGroom,11:07:57,00:03:18.7665070,00:03:18.7665070
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,Social/play,11:11:16,00:00:02.9117618,00:03:21.6782688
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,SocGroom,11:11:19,00:00:14.1299540,00:03:35.8082228
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,Social/play,11:11:33,00:00:22.2792460,00:03:58.0874688
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,Locomotion,11:11:55,00:00:08.8650196,00:04:06.9524884
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,SocGroom,11:12:04,00:00:06.4260361,00:04:13.3785245
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,Locomotion,11:12:10,00:00:02.2834323,00:04:15.6619568
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,Jumping,11:12:13,00:00:02.4425507,00:04:18.1045075
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,Locomotion,11:12:15,00:00:01.7177937,00:04:19.8223012
BNP,Rh2816,Pair,Ab110c41,2021-6-16,1.0.46.0,SocGroom,11:12:17,00:00:40.4330968,00:05:00.2553980

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,3,00:00:12.8662456
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,1,00:00:02.4425507
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,4,00:04:19.7555939
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,2,00:00:25.1910078
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
