Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,Rh2915
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,bmqh2c37
Behavior Date:,2021-6-10
Behavior Time:,01:44 PM
Ethogram:,2021 bass.csv
Coding Began:,06/10/2021 13:45:17 PM
Coding Ended:,06/10/2021 13:50:21 PM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Rh2915,Group,bmqh2c37,2021-6-10,1.0.46.0,Inactive,01:45:17,00:03:05.0803105,00:03:05.0803105
Js,Rh2915,Group,bmqh2c37,2021-6-10,1.0.46.0,Tactile/explore,01:48:22,00:00:04.5276997,00:03:09.6080102
Js,Rh2915,Group,bmqh2c37,2021-6-10,1.0.46.0,Inactive,01:48:27,00:00:25.7975001,00:03:35.4055103
Js,Rh2915,Group,bmqh2c37,2021-6-10,1.0.46.0,Tactile/explore,01:48:53,00:00:15.1098685,00:03:50.5153788
Js,Rh2915,Group,bmqh2c37,2021-6-10,1.0.46.0,Inactive,01:49:08,00:00:05.7909055,00:03:56.3062843
Js,Rh2915,Group,bmqh2c37,2021-6-10,1.0.46.0,Tactile/explore,01:49:14,00:00:32.4222042,00:04:28.7284885
Js,Rh2915,Group,bmqh2c37,2021-6-10,1.0.46.0,Locomotion,01:49:46,00:00:04.0847466,00:04:32.8132351
Js,Rh2915,Group,bmqh2c37,2021-6-10,1.0.46.0,Inactive,01:49:50,00:00:29.0107132,00:05:01.8239483

BehavCode, Occurrences, totalTime
Inactive,4,00:04:05.6794293
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:04.0847466
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,3,00:00:52.0597724
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
