Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,BNP,,,,,,,,
Study Code:,Bass2021,,,,,,,,
Indiv ID:,Rh2945,,,,,,,,
Obs Site:,Other Site,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Pair,,,,,,,,
Room/Cage:,Ab111c19,,,,,,,,
Behavior Date:,5/5/21,,,,,,,,
Behavior Time:,11:16 AM,,,,,,,,
Ethogram:,2021 bass.csv,,,,,,,,
Coding Began:,5/5/21 11:16,,,,,,,,
Coding Ended:,5/5/21 11:21,,,,,,,,
Session duration:,0:05:04,,,,,,,,
App Version:,1.0.44.0,,,,,,,,
Notes:,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2945,Pair,Ab111c19,5/5/21,1.0.44.0,Groom,11:16:44,01:30.9,01:30.9
BNP,Rh2945,Pair,Ab111c19,5/5/21,1.0.44.0,Inactive,11:18:15,00:18.7,01:49.7
BNP,Rh2945,Pair,Ab111c19,5/5/21,1.0.44.0,Social/play,11:18:34,00:18.2,02:07.9
BNP,Rh2945,Pair,Ab111c19,5/5/21,1.0.44.0,SocGroom,11:18:52,02:55.8,05:03.7
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,1,00:18.7,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,0,0:00:00,,,,,,,
Aggression,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
Present,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Scratch,0,0:00:00,,,,,,,
Groom,1,01:30.9,,,,,,,
Rock,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
SocGroom,1,02:55.8,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,1,00:18.2,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Cling,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
