Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,BNP,,,,,,,,
Study Code:,Bass2021,,,,,,,,
Indiv ID:,Rh2977,,,,,,,,
Obs Site:,Other Site,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Pair,,,,,,,,
Room/Cage:,Ab111c17,,,,,,,,
Behavior Date:,5/5/21,,,,,,,,
Behavior Time:,11:05 AM,,,,,,,,
Ethogram:,2021 bass.csv,,,,,,,,
Coding Began:,5/5/21 11:05,,,,,,,,
Coding Ended:,5/5/21 11:10,,,,,,,,
Session duration:,0:05:00,,,,,,,,
App Version:,1.0.44.0,,,,,,,,
Notes:,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Inactive,11:05:41,00:44.1,00:44.1
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Locomotion,11:06:25,00:06.7,00:50.8
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Social/play,11:06:32,00:02.2,00:53.0
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Inactive,11:06:34,00:45.6,01:38.6
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Social/play,11:07:20,00:02.8,01:41.4
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Inactive,11:07:23,00:34.6,02:15.9
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Vocal,11:07:57,00:01.6,02:17.5
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Inactive,11:07:59,00:49.2,03:06.8
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Threat/display,11:08:48,00:02.1,03:08.9
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Inactive,11:08:50,01:10.3,04:19.2
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Scratch,11:10:00,00:05.1,04:24.3
BNP,Rh2977,Pair,Ab111c17,5/5/21,1.0.44.0,Inactive,11:10:06,00:35.8,05:00.1
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,6,04:39.7,,,,,,,
Threat/display,1,00:02.1,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,1,00:06.7,,,,,,,
Aggression,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
Present,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Scratch,1,00:05.1,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
SocGroom,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,2,00:04.9,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,1,00:01.6,,,,,,,
Cling,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
