Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,Rh3019
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqq1c5
Behavior Date:,2021-5-18
Behavior Time:,02:12 PM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 14:12:55 PM
Coding Ended:,05/18/2021 14:17:59 PM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:12:55,00:00:14.2428597,00:00:14.2428597
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:13:10,00:00:02.2878973,00:00:16.5307570
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:13:12,00:00:05.1113080,00:00:21.6420650
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:13:17,00:00:01.3970548,00:00:23.0391198
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:13:18,00:00:02.0168304,00:00:25.0559502
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:13:20,00:00:01.8997070,00:00:26.9556572
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:13:22,00:00:02.7195704,00:00:29.6752276
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:13:25,00:00:03.0249661,00:00:32.7001937
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:13:28,00:00:05.0906773,00:00:37.7908710
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:13:33,00:00:07.0532687,00:00:44.8441397
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:13:40,00:00:02.6859922,00:00:47.5301319
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:13:43,00:00:02.4528995,00:00:49.9830314
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:13:45,00:00:04.5204240,00:00:54.5034554
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:13:50,00:00:03.9257434,00:00:58.4291988
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:13:54,00:00:06.2564175,00:01:04.6856163
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:14:00,00:00:08.6939669,00:01:13.3795832
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:14:09,00:00:01.8069170,00:01:15.1865002
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:14:11,00:00:07.2960685,00:01:22.4825687
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:14:18,00:00:07.3427356,00:01:29.8253043
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:14:25,00:00:03.0016046,00:01:32.8269089
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:14:28,00:00:02.5765048,00:01:35.4034137
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:14:31,00:00:02.8428722,00:01:38.2462859
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:14:34,00:00:01.9176098,00:01:40.1638957
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:14:36,00:00:05.1157310,00:01:45.2796267
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:14:41,00:00:02.9347678,00:01:48.2143945
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:14:44,00:00:03.7599895,00:01:51.9743840
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:14:47,00:00:02.6157526,00:01:54.5901366
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:14:50,00:00:03.3597793,00:01:57.9499159
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:14:53,00:00:01.6420479,00:01:59.5919638
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:14:55,00:00:02.7610015,00:02:02.3529653
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:14:58,00:00:02.2265099,00:02:04.5794752
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:15:00,00:00:02.2122494,00:02:06.7917246
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Scratch,02:15:02,00:00:01.6987472,00:02:08.4904718
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:15:04,00:00:10.6813770,00:02:19.1718488
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:15:15,00:00:02.7579181,00:02:21.9297669
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:15:17,00:00:14.9518022,00:02:36.8815691
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Tactile/explore,02:15:32,00:00:02.9646920,00:02:39.8462611
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Scratch,02:15:35,00:00:01.8273004,00:02:41.6735615
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:15:37,00:00:14.6260409,00:02:56.2996024
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Yawn,02:15:52,00:00:01.6346801,00:02:57.9342825
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:15:53,00:00:01.1021982,00:02:59.0364807
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:15:54,00:00:03.0189060,00:03:02.0553867
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Scratch,02:15:57,00:00:03.1578930,00:03:05.2132797
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:16:01,00:00:14.3976870,00:03:19.6109667
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:16:15,00:00:02.2410118,00:03:21.8519785
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:16:17,00:00:14.1619774,00:03:36.0139559
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:16:31,00:00:03.0608452,00:03:39.0748011
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:16:34,00:00:02.0844680,00:03:41.1592691
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:16:37,00:00:13.8676985,00:03:55.0269676
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:16:50,00:00:02.5888176,00:03:57.6157852
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:16:53,00:00:18.2383307,00:04:15.8541159
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:17:11,00:00:01.5850287,00:04:17.4391446
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Lipsmack,02:17:13,00:00:17.7516454,00:04:35.1907900
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:17:31,00:00:12.8951227,00:04:48.0859127
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:17:43,00:00:02.0513886,00:04:50.1373013
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:17:46,00:00:04.8059728,00:04:54.9432741
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Scratch,02:17:50,00:00:01.8356885,00:04:56.7789626
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:17:52,00:00:01.1009473,00:04:57.8799099
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Locomotion,02:17:53,00:00:01.9924527,00:04:59.8723626
Js,Rh3019,Pair,bmqq1c5,2021-5-18,1.0.46.0,Inactive,02:17:55,00:00:01.3140671,00:05:01.1864297

BehavCode, Occurrences, totalTime
Inactive,20,00:02:23.3936508
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,18,00:00:43.3941007
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:02.9646920
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,16,00:01:41.2796770
Swing/spin/flip,0,00:00:00
Scratch,4,00:00:08.5196291
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,1,00:00:01.6346801
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
