Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,Rh3035
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqq1c7
Behavior Date:,2021-5-18
Behavior Time:,02:17 PM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 14:19:18 PM
Coding Ended:,05/18/2021 14:24:36 PM
Session duration:,00:05:17
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:19:18,00:00:44.8467651,00:00:44.8467651
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Locomotion,02:20:03,00:00:01.3561416,00:00:46.2029067
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:20:04,00:00:16.1851770,00:01:02.3880837
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Locomotion,02:20:20,00:00:05.9012445,00:01:08.2893282
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:20:26,00:00:48.1315848,00:01:56.4209130
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Locomotion,02:21:14,00:00:02.5925181,00:01:59.0134311
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:21:17,00:01:14.6580042,00:03:13.6714353
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Locomotion,02:22:32,00:00:07.6398767,00:03:21.3113120
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:22:39,00:00:08.5370811,00:03:29.8483931
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Locomotion,02:22:48,00:00:03.7389269,00:03:33.5873200
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:22:52,00:00:11.6046231,00:03:45.1919431
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Groom,02:23:03,00:00:02.6421288,00:03:47.8340719
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:23:06,00:00:07.7874345,00:03:55.6215064
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Locomotion,02:23:14,00:00:03.8592378,00:03:59.4807442
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:23:18,00:00:17.6004514,00:04:17.0811956
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Vocal,02:23:35,00:00:01.3584838,00:04:18.4396794
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:23:37,00:00:01.2940676,00:04:19.7337470
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Threat/display,02:23:38,00:00:01.4579931,00:04:21.1917401
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:23:39,00:00:17.1267347,00:04:38.3184748
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Locomotion,02:23:56,00:00:00.9099811,00:04:39.2284559
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Vocal,02:23:57,00:00:01.2680526,00:04:40.4965085
Js,Rh3035,Pair,bmqq1c7,2021-5-18,1.0.46.0,Inactive,02:23:59,00:00:31.0653012,00:05:11.5618097

BehavCode, Occurrences, totalTime
Inactive,11,00:04:38.8372247
Threat/display,1,00:00:01.4579931
Sex/self/other,0,00:00:00
Locomotion,7,00:00:25.9979267
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:02.6421288
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,2,00:00:02.6265364
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
