Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh3050
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab110c37
Behavior Date:,2021-6-16
Behavior Time:,11:00 AM
Ethogram:,2021 bass.csv
Coding Began:,06/16/2021 11:02:13 AM
Coding Ended:,06/16/2021 11:07:14 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Inactive,11:02:13,00:00:12.0342240,00:00:12.0342240
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Threat/display,11:02:25,00:00:03.7287835,00:00:15.7630075
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Inactive,11:02:29,00:00:17.0602921,00:00:32.8232996
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Threat/display,11:02:46,00:00:03.2405986,00:00:36.0638982
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Inactive,11:02:49,00:01:31.9387849,00:02:08.0026831
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Locomotion,11:04:21,00:00:03.3109902,00:02:11.3136733
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Inactive,11:04:24,00:00:02.9534598,00:02:14.2671331
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Locomotion,11:04:27,00:00:03.7171046,00:02:17.9842377
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Inactive,11:04:31,00:00:41.7591560,00:02:59.7433937
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Tactile/explore,11:05:13,00:00:15.7062911,00:03:15.4496848
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Inactive,11:05:29,00:00:04.5061858,00:03:19.9558706
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Social/play,11:05:33,00:01:08.1405606,00:04:28.0964312
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Groom,11:06:41,00:00:08.3827350,00:04:36.4791662
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Inactive,11:06:50,00:00:02.3556758,00:04:38.8348420
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Social/play,11:06:52,00:00:05.8177506,00:04:44.6525926
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Tactile/explore,11:06:58,00:00:10.6653255,00:04:55.3179181
BNP,Rh3050,Pair,Ab110c37,2021-6-16,1.0.46.0,Social/play,11:07:08,00:00:05.1443559,00:05:00.4622740

BehavCode, Occurrences, totalTime
Inactive,7,00:02:52.6077784
Threat/display,2,00:00:06.9693821
Sex/self/other,0,00:00:00
Locomotion,2,00:00:07.0280948
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,2,00:00:26.3716166
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:08.3827350
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,3,00:01:19.1026671
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
