Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,c19009
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,c436c9
Behavior Date:,2021-5-25
Behavior Time:,10:27 AM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 10:28:54 AM
Coding Ended:,05/25/2021 10:34:14 AM
Session duration:,00:05:20
App Version:,1.0.46.0
Notes:,accidentally hit socgroom 

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:28:54,00:00:14.7454014,00:00:14.7454014
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Swing/spin/flip,10:29:09,00:00:01.3332286,00:00:16.0786300
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:29:10,00:00:05.8393478,00:00:21.9179778
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Tactile/explore,10:29:16,00:00:03.2262464,00:00:25.1442242
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:29:20,00:00:04.3594381,00:00:29.5036623
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Tactile/explore,10:29:24,00:00:07.5324426,00:00:37.0361049
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:29:31,00:00:20.2113744,00:00:57.2474793
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:29:52,00:00:05.5459577,00:01:02.7934370
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:29:57,00:00:15.7980595,00:01:18.5914965
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:30:13,00:00:02.6265121,00:01:21.2180086
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:30:16,00:00:09.9054007,00:01:31.1234093
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:30:26,00:00:02.7463110,00:01:33.8697203
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:30:28,00:00:12.7316873,00:01:46.6014076
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:30:41,00:00:07.9732727,00:01:54.5746803
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Social/play,10:30:49,00:00:04.7727225,00:01:59.3474028
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Tactile/explore,10:30:54,00:00:03.4395594,00:02:02.7869622
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Social/play,10:30:57,00:00:03.4396383,00:02:06.2266005
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:31:01,00:00:07.1330665,00:02:13.3596670
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:31:08,00:00:09.6258372,00:02:22.9855042
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Social/play,10:31:17,00:00:02.8529654,00:02:25.8384696
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:31:20,00:00:12.7319311,00:02:38.5704007
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:31:33,00:00:10.5719646,00:02:49.1423653
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Swing/spin/flip,10:31:44,00:00:02.0797344,00:02:51.2220997
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:31:46,00:00:02.3332599,00:02:53.5553596
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Social/play,10:31:48,00:00:04.3338671,00:02:57.8892267
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:31:52,00:00:07.8399054,00:03:05.7291321
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:32:00,00:00:05.1193431,00:03:10.8484752
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,SocGroom,10:32:05,00:00:01.0398704,00:03:11.8883456
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Social/play,10:32:06,00:00:05.1069701,00:03:16.9953157
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:32:11,00:00:03.4130241,00:03:20.4083398
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:32:15,00:00:12.1055372,00:03:32.5138770
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Tactile/explore,10:32:27,00:00:06.5465259,00:03:39.0604029
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:32:33,00:00:09.3605909,00:03:48.4209938
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Scratch,10:32:43,00:00:05.3326461,00:03:53.7536399
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:32:48,00:00:02.5730782,00:03:56.3267181
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:32:51,00:00:09.5076390,00:04:05.8343571
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:33:00,00:00:05.0926749,00:04:10.9270320
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Social/play,10:33:05,00:00:02.7339849,00:04:13.6610169
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Groom,10:33:08,00:00:07.9197052,00:04:21.5807221
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Social/play,10:33:16,00:00:10.1320212,00:04:31.7127433
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:33:26,00:00:05.5592837,00:04:37.2720270
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Swing/spin/flip,10:33:32,00:00:03.0270657,00:04:40.2990927
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:33:35,00:00:04.2133727,00:04:44.5124654
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Tactile/explore,10:33:39,00:00:06.3591743,00:04:50.8716397
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Locomotion,10:33:45,00:00:03.2403417,00:04:54.1119814
mr,c19009,Pair,c436c9,2021-5-25,1.0.46.0,Social/play,10:33:49,00:00:07.0275877,00:05:01.1395691

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,17,00:01:55.4734108
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,5,00:00:27.1039486
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,3,00:00:06.4400287
Scratch,1,00:00:05.3326461
Groom,11,00:01:45.3499073
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:01.0398704
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,8,00:00:40.3997572
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
