Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,cy0662
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,cb27c9
Behavior Date:,2021-4-29
Behavior Time:,11:19 AM
Ethogram:,2021 bass.csv
Coding Began:,04/29/2021 11:21:14 AM
Coding Ended:,04/29/2021 11:26:18 AM
Session duration:,00:05:03
App Version:,1.0.44.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Inactive,11:21:14,00:00:15.6160577,00:00:15.6160577
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Scratch,11:21:30,00:00:03.0865890,00:00:18.7026467
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Inactive,11:21:33,00:00:03.2982821,00:00:22.0009288
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Groom,11:21:36,00:00:02.3018711,00:00:24.3027999
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Inactive,11:21:39,00:00:04.5784352,00:00:28.8812351
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Scratch,11:21:43,00:00:02.8977788,00:00:31.7790139
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Inactive,11:21:46,00:00:15.6219103,00:00:47.4009242
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Locomotion,11:22:02,00:00:08.2719950,00:00:55.6729192
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Inactive,11:22:10,00:00:06.4994005,00:01:02.1723197
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Mantleshake,11:22:16,00:00:04.7736392,00:01:06.9459589
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Headtoss,11:22:21,00:00:02.3446607,00:01:09.2906196
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Scratch,11:22:24,00:00:05.2416467,00:01:14.5322663
mr,cy0662,Pair,cb27c9,2021-4-29,1.0.44.0,Inactive,11:22:29,00:00:15.5091658,00:01:30.0414321
