Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0682
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,mr1552c23
Behavior Date:,2021-5-21
Behavior Time:,10:28 AM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 10:28:48 AM
Coding Ended:,05/21/2021 10:33:51 AM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Inactive,10:28:48,00:00:54.0731834,00:00:54.0731834
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Yawn,10:29:42,00:00:01.6315045,00:00:55.7046879
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Scratch,10:29:44,00:00:03.9531342,00:00:59.6578221
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Inactive,10:29:48,00:00:25.0169761,00:01:24.6747982
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Locomotion,10:30:13,00:00:10.0328906,00:01:34.7076888
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Inactive,10:30:23,00:01:15.4365062,00:02:50.1441950
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Locomotion,10:31:38,00:00:03.2987405,00:02:53.4429355
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Inactive,10:31:41,00:00:28.9687315,00:03:22.4116670
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Locomotion,10:32:10,00:00:05.8941201,00:03:28.3057871
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Inactive,10:32:16,00:00:23.5326620,00:03:51.8384491
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Locomotion,10:32:40,00:00:09.4177500,00:04:01.2561991
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Inactive,10:32:49,00:00:20.1707352,00:04:21.4269343
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Locomotion,10:33:09,00:00:01.3580518,00:04:22.7849861
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Present,10:33:11,00:00:09.4139718,00:04:32.1989579
ta,cy0682,Single,mr1552c23,2021-5-21,1.0.46.0,Inactive,10:33:20,00:00:29.4432712,00:05:01.6422291

BehavCode, Occurrences, totalTime
Inactive,7,00:04:16.6420656
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,5,00:00:30.0015530
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,1,00:00:09.4139718
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:03.9531342
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,1,00:00:01.6315045
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
