Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0692
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1527c19
Behavior Date:,2021-5-14
Behavior Time:,11:06 AM
Ethogram:,2021 bass.csv
Coding Began:,05/14/2021 11:06:38 AM
Coding Ended:,05/14/2021 11:11:45 AM
Session duration:,00:05:07
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0692,Pair,mr1527c19,2021-5-14,1.0.46.0,Groom,11:06:38,00:00:08.5191420,00:00:08.5191420
ta,cy0692,Pair,mr1527c19,2021-5-14,1.0.46.0,Locomotion,11:06:46,00:00:10.0539075,00:00:18.5730495
ta,cy0692,Pair,mr1527c19,2021-5-14,1.0.46.0,Social/play,11:06:56,00:01:28.3706088,00:01:46.9436583
ta,cy0692,Pair,mr1527c19,2021-5-14,1.0.46.0,Yawn,11:08:25,00:00:02.5765276,00:01:49.5201859
ta,cy0692,Pair,mr1527c19,2021-5-14,1.0.46.0,Social/play,11:08:27,00:01:19.8276091,00:03:09.3477950
ta,cy0692,Pair,mr1527c19,2021-5-14,1.0.46.0,Scratch,11:09:47,00:00:01.5939212,00:03:10.9417162
ta,cy0692,Pair,mr1527c19,2021-5-14,1.0.46.0,Social/play,11:09:49,00:01:15.2712314,00:04:26.2129476
ta,cy0692,Pair,mr1527c19,2021-5-14,1.0.46.0,Yawn,11:11:04,00:00:01.2342447,00:04:27.4471923
ta,cy0692,Pair,mr1527c19,2021-5-14,1.0.46.0,Social/play,11:11:05,00:00:38.8839351,00:05:06.3311274

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:10.0539075
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:01.5939212
Groom,1,00:00:08.5191420
Rock,0,00:00:00
Yawn,2,00:00:03.8107723
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,4,00:04:42.3533844
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
