Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0720
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1552c9
Behavior Date:,2021-5-21
Behavior Time:,10:39 AM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 10:40:27 AM
Coding Ended:,05/21/2021 10:45:29 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0720,Pair,mr1552c9,2021-5-21,1.0.46.0,SocGroom,10:40:27,00:00:33.1314465,00:00:33.1314465
ta,cy0720,Pair,mr1552c9,2021-5-21,1.0.46.0,Social/play,10:41:00,00:00:16.5971931,00:00:49.7286396
ta,cy0720,Pair,mr1552c9,2021-5-21,1.0.46.0,Inactive,10:41:16,00:00:03.1327777,00:00:52.8614173
ta,cy0720,Pair,mr1552c9,2021-5-21,1.0.46.0,Vocal,10:41:20,00:00:01.2355414,00:00:54.0969587
ta,cy0720,Pair,mr1552c9,2021-5-21,1.0.46.0,Inactive,10:41:21,00:03:18.3647230,00:04:12.4616817
ta,cy0720,Pair,mr1552c9,2021-5-21,1.0.46.0,Scratch,10:44:39,00:00:06.9693943,00:04:19.4310760
ta,cy0720,Pair,mr1552c9,2021-5-21,1.0.46.0,Inactive,10:44:46,00:00:41.6908015,00:05:01.1218775

BehavCode, Occurrences, totalTime
Inactive,3,00:04:03.1883022
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:06.9693943
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:33.1314465
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:16.5971931
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:01.2355414
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
