Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0734
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1552c9
Behavior Date:,2021-5-21
Behavior Time:,10:45 AM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 10:45:53 AM
Coding Ended:,05/21/2021 10:50:56 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0734,Pair,mr1552c9,2021-5-21,1.0.46.0,Inactive,10:45:53,00:02:47.2087203,00:02:47.2087203
ta,cy0734,Pair,mr1552c9,2021-5-21,1.0.46.0,Yawn,10:48:40,00:00:01.5963582,00:02:48.8050785
ta,cy0734,Pair,mr1552c9,2021-5-21,1.0.46.0,Inactive,10:48:42,00:00:58.8727058,00:03:47.6777843
ta,cy0734,Pair,mr1552c9,2021-5-21,1.0.46.0,Vocal,10:49:40,00:00:01.0220742,00:03:48.6998585
ta,cy0734,Pair,mr1552c9,2021-5-21,1.0.46.0,Inactive,10:49:41,00:00:40.3956736,00:04:29.0955321
ta,cy0734,Pair,mr1552c9,2021-5-21,1.0.46.0,Groom,10:50:22,00:00:09.8608306,00:04:38.9563627
ta,cy0734,Pair,mr1552c9,2021-5-21,1.0.46.0,Inactive,10:50:32,00:00:22.0506626,00:05:01.0070253

BehavCode, Occurrences, totalTime
Inactive,4,00:04:48.5277623
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:09.8608306
Rock,0,00:00:00
Yawn,1,00:00:01.5963582
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:01.0220742
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
