Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r04141
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1552c11
Behavior Date:,2021-5-21
Behavior Time:,10:50 AM
Ethogram:,2021 bass.csv
Coding Began:,05/21/2021 10:51:21 AM
Coding Ended:,05/21/2021 10:56:24 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:51:21,00:00:34.8701002,00:00:34.8701002
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:51:56,00:00:02.9400138,00:00:37.8101140
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:51:59,00:00:24.6209939,00:01:02.4311079
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Aggression,10:52:24,00:00:08.4145691,00:01:10.8456770
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:52:32,00:00:11.8512339,00:01:22.6969109
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:52:44,00:01:08.6268664,00:02:31.3237773
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:53:53,00:00:00.1519791,00:02:31.4757564
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:53:53,00:00:02.1617201,00:02:33.6374765
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:53:55,00:00:37.4216115,00:03:11.0590880
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:54:33,00:00:08.7572854,00:03:19.8163734
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:54:41,00:00:14.1075183,00:03:33.9238917
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Present,10:54:55,00:00:07.9433746,00:03:41.8672663
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:55:03,00:00:01.9765753,00:03:43.8438416
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:55:05,00:00:00.2159846,00:03:44.0598262
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:55:06,00:00:07.3799902,00:03:51.4398164
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:55:13,00:00:08.5125035,00:03:59.9523199
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Present,10:55:21,00:00:04.1688123,00:04:04.1211322
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:55:26,00:00:01.7147973,00:04:05.8359295
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:55:27,00:00:09.1978628,00:04:15.0337923
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:55:37,00:00:10.7125693,00:04:25.7463616
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:55:47,00:00:22.4294951,00:04:48.1758567
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Locomotion,10:56:10,00:00:02.8440329,00:04:51.0198896
ta,r04141,Pair,mr1552c11,2021-5-21,1.0.46.0,Inactive,10:56:13,00:00:10.1323163,00:05:01.1522059

BehavCode, Occurrences, totalTime
Inactive,10,00:03:49.0027393
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,10,00:00:51.6227106
Aggression,1,00:00:08.4145691
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,2,00:00:12.1121869
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
