Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r06031
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,mr1522c18
Behavior Date:,2021-5-14
Behavior Time:,09:51 AM
Ethogram:,2021 bass.csv
Coding Began:,05/14/2021 09:52:03 AM
Coding Ended:,05/14/2021 09:57:06 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r06031,Single,mr1522c18,2021-5-14,1.0.46.0,Inactive,09:52:03,00:01:59.6895225,00:01:59.6895225
ta,r06031,Single,mr1522c18,2021-5-14,1.0.46.0,Yawn,09:54:03,00:00:01.4176852,00:02:01.1072077
ta,r06031,Single,mr1522c18,2021-5-14,1.0.46.0,Inactive,09:54:04,00:02:01.2690191,00:04:02.3762268
ta,r06031,Single,mr1522c18,2021-5-14,1.0.46.0,Locomotion,09:56:05,00:00:08.1104839,00:04:10.4867107
ta,r06031,Single,mr1522c18,2021-5-14,1.0.46.0,Inactive,09:56:14,00:00:51.0055056,00:05:01.4922163

BehavCode, Occurrences, totalTime
Inactive,3,00:04:51.9640472
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:08.1104839
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,1,00:00:01.4176852
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
