Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r08014
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a260c14
Behavior Date:,2021-5-18
Behavior Time:,12:28 PM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 12:29:02 PM
Coding Ended:,05/18/2021 12:34:11 PM
Session duration:,00:05:09
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Inactive,12:29:02,00:00:17.0521203,00:00:17.0521203
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Tactile/explore,12:29:19,00:00:20.8193467,00:00:37.8714670
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Scratch,12:29:40,00:00:04.6962865,00:00:42.5677535
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Groom,12:29:45,00:00:09.5888764,00:00:52.1566299
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Inactive,12:29:54,00:00:17.7295448,00:01:09.8861747
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Locomotion,12:30:12,00:00:05.2492229,00:01:15.1353976
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Pacing,12:30:17,00:00:32.3800180,00:01:47.5154156
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Inactive,12:30:50,00:02:31.3694811,00:04:18.8848967
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Locomotion,12:33:21,00:00:01.8753079,00:04:20.7602046
ta,r08014,Single,a260c14,2021-5-18,1.0.46.0,Inactive,12:33:23,00:00:47.3684756,00:05:08.1286802

BehavCode, Occurrences, totalTime
Inactive,4,00:03:53.5196218
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:07.1245308
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,1,00:00:32.3800180
Present,0,00:00:00
Tactile/explore,1,00:00:20.8193467
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:04.6962865
Groom,1,00:00:09.5888764
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
