Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r09091
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a271c11
Behavior Date:,2021-5-12
Behavior Time:,12:06 PM
Ethogram:,2021 bass.csv
Coding Began:,05/12/2021 12:07:13 PM
Coding Ended:,05/12/2021 12:12:16 PM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r09091,Single,a271c11,2021-5-12,1.0.46.0,Groom,12:07:13,00:00:45.6850182,00:00:45.6850182
ta,r09091,Single,a271c11,2021-5-12,1.0.46.0,Inactive,12:07:59,00:02:12.7703536,00:02:58.4553718
ta,r09091,Single,a271c11,2021-5-12,1.0.46.0,Locomotion,12:10:12,00:00:05.1367780,00:03:03.5921498
ta,r09091,Single,a271c11,2021-5-12,1.0.46.0,Inactive,12:10:17,00:01:57.2709029,00:05:00.8630527

BehavCode, Occurrences, totalTime
Inactive,2,00:04:10.0412565
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:05.1367780
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:45.6850182
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
