Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r10070
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a265c12
Behavior Date:,2021-5-19
Behavior Time:,11:33 AM
Ethogram:,2021 bass.csv
Coding Began:,05/19/2021 11:34:05 AM
Coding Ended:,05/19/2021 11:39:08 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r10070,Single,a265c12,2021-5-19,1.0.46.0,Inactive,11:34:05,00:02:35.6718847,00:02:35.6718847
ta,r10070,Single,a265c12,2021-5-19,1.0.46.0,Groom,11:36:41,00:00:16.4630250,00:02:52.1349097
ta,r10070,Single,a265c12,2021-5-19,1.0.46.0,Sex/self/other,11:36:57,00:00:39.1484575,00:03:31.2833672
ta,r10070,Single,a265c12,2021-5-19,1.0.46.0,Groom,11:37:37,00:01:29.7101544,00:05:00.9935216

BehavCode, Occurrences, totalTime
Inactive,1,00:02:35.6718847
Threat/display,0,00:00:00
Sex/self/other,1,00:00:39.1484575
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,2,00:01:46.1731794
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
