Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r11074
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,mr1522c15
Behavior Date:,2021-5-14
Behavior Time:,09:39 AM
Ethogram:,2021 bass.csv
Coding Began:,05/14/2021 09:40:23 AM
Coding Ended:,05/14/2021 09:45:26 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Locomotion,09:40:23,00:00:03.1976625,00:00:03.1976625
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Inactive,09:40:27,00:00:06.6358305,00:00:09.8334930
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Eat/drink,09:40:33,00:00:31.3512062,00:00:41.1846992
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Scratch,09:41:05,00:00:01.3516764,00:00:42.5363756
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Eat/drink,09:41:06,00:01:00.5812545,00:01:43.1176301
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Locomotion,09:42:06,00:00:01.3062832,00:01:44.4239133
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Eat/drink,09:42:08,00:00:14.0024790,00:01:58.4263923
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Scratch,09:42:22,00:00:01.2613012,00:01:59.6876935
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Eat/drink,09:42:23,00:00:31.9182246,00:02:31.6059181
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Locomotion,09:42:55,00:00:04.7066473,00:02:36.3125654
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Eat/drink,09:43:00,00:00:18.7760291,00:02:55.0885945
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Tactile/explore,09:43:18,00:00:02.6314961,00:02:57.7200906
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Eat/drink,09:43:21,00:00:28.6609619,00:03:26.3810525
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Inactive,09:43:50,00:00:13.4019983,00:03:39.7830508
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Mantleshake,09:44:03,00:00:01.2815898,00:03:41.0646406
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Inactive,09:44:04,00:00:34.0363994,00:04:15.1010400
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Locomotion,09:44:38,00:00:07.3280383,00:04:22.4290783
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Pacing,09:44:46,00:00:06.9165235,00:04:29.3456018
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Inactive,09:44:53,00:00:14.0847949,00:04:43.4303967
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Yawn,09:45:07,00:00:01.4034903,00:04:44.8338870
ta,r11074,Single,mr1522c15,2021-5-14,1.0.46.0,Inactive,09:45:08,00:00:16.2126446,00:05:01.0465316

BehavCode, Occurrences, totalTime
Inactive,5,00:01:24.3716677
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,4,00:00:16.5386313
Aggression,0,00:00:00
Eat/drink,6,00:03:05.2901553
Pacing,1,00:00:06.9165235
Present,0,00:00:00
Tactile/explore,1,00:00:02.6314961
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:02.6129776
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,1,00:00:01.4034903
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,1,00:00:01.2815898
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
