Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r12038
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a271c13
Behavior Date:,2021-5-13
Behavior Time:,11:18 AM
Ethogram:,2021 bass.csv
Coding Began:,05/13/2021 11:18:29 AM
Coding Ended:,05/13/2021 11:23:31 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Inactive,11:18:29,00:00:46.8467087,00:00:46.8467087
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Yawn,11:19:16,00:00:01.2687901,00:00:48.1154988
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Inactive,11:19:17,00:00:25.7787968,00:01:13.8942956
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Yawn,11:19:43,00:00:01.0038018,00:01:14.8980974
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Inactive,11:19:44,00:00:09.3557084,00:01:24.2538058
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Groom,11:19:54,00:00:05.9339335,00:01:30.1877393
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Inactive,11:19:59,00:00:02.8989813,00:01:33.0867206
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Yawn,11:20:02,00:00:01.3460363,00:01:34.4327569
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Inactive,11:20:04,00:01:00.3436164,00:02:34.7763733
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Yawn,11:21:04,00:00:01.4662798,00:02:36.2426531
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Inactive,11:21:06,00:00:02.2519313,00:02:38.4945844
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Tactile/explore,11:21:08,00:00:03.2446037,00:02:41.7391881
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Scratch,11:21:11,00:00:03.7611116,00:02:45.5002997
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Inactive,11:21:15,00:00:03.2722320,00:02:48.7725317
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Scratch,11:21:18,00:00:02.3478099,00:02:51.1203416
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Inactive,11:21:20,00:00:03.5037850,00:02:54.6241266
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Tactile/explore,11:21:24,00:00:08.6568253,00:03:03.2809519
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Sex/self/other,11:21:33,00:00:14.2256641,00:03:17.5066160
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Tactile/explore,11:21:47,00:00:07.1167831,00:03:24.6233991
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Yawn,11:21:54,00:00:01.8296721,00:03:26.4530712
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Tactile/explore,11:21:56,00:00:19.2872291,00:03:45.7403003
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Yawn,11:22:15,00:00:04.5057570,00:03:50.2460573
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Tactile/explore,11:22:20,00:00:32.9696538,00:04:23.2157111
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Yawn,11:22:53,00:00:01.7015399,00:04:24.9172510
ta,r12038,Single,a271c13,2021-5-13,1.0.46.0,Tactile/explore,11:22:54,00:00:35.7631967,00:05:00.6804477

BehavCode, Occurrences, totalTime
Inactive,8,00:02:34.2517599
Threat/display,0,00:00:00
Sex/self/other,1,00:00:14.2256641
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,6,00:01:47.0382917
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:06.1089215
Groom,1,00:00:05.9339335
Rock,0,00:00:00
Yawn,7,00:00:13.1218770
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
