Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r14007
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a261c1
Behavior Date:,2021-5-3
Behavior Time:,11:04 AM
Ethogram:,2021 bass.csv
Coding Began:,05/03/2021 11:06:16 AM
Coding Ended:,05/03/2021 11:11:22 AM
Session duration:,00:05:05
App Version:,1.0.44.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Locomotion,11:06:16,00:00:04.1217397,00:00:04.1217397
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Inactive,11:06:20,00:00:10.9791105,00:00:15.1008502
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Locomotion,11:06:31,00:00:09.8758737,00:00:24.9767239
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Pacing,11:06:41,00:00:07.2072983,00:00:32.1840222
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Inactive,11:06:49,00:00:16.3082766,00:00:48.4922988
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Locomotion,11:07:05,00:00:06.7787200,00:00:55.2710188
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Pacing,11:07:12,00:00:09.8894933,00:01:05.1605121
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Threat/display,11:07:21,00:00:06.6579688,00:01:11.8184809
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Locomotion,11:07:28,00:00:03.4531367,00:01:15.2716176
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Inactive,11:07:32,00:00:20.5043532,00:01:35.7759708
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Locomotion,11:07:52,00:00:06.6685817,00:01:42.4445525
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Pacing,11:07:59,00:00:24.1337835,00:02:06.5783360
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Inactive,11:08:23,00:00:03.2920328,00:02:09.8703688
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Yawn,11:08:26,00:00:00.9927258,00:02:10.8630946
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Inactive,11:08:27,00:01:09.6880185,00:03:20.5511131
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Yawn,11:09:37,00:00:01.2431310,00:03:21.7942441
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Inactive,11:09:38,00:00:08.1422097,00:03:29.9364538
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Yawn,11:09:46,00:00:01.2059017,00:03:31.1423555
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Inactive,11:09:47,00:00:07.3866435,00:03:38.5289990
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Vocal,11:09:55,00:00:08.6952272,00:03:47.2242262
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Inactive,11:10:04,00:00:41.7736539,00:04:28.9978801
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Yawn,11:10:45,00:00:01.5622274,00:04:30.5601075
ta,r14007,Single,a261c1,2021-5-3,1.0.44.0,Inactive,11:10:47,00:00:30.6044482,00:05:01.1645557

BehavCode, Occurrences, totalTime
Inactive,9,00:03:28.6787469
Threat/display,1,00:00:06.6579688
Sex/self/other,0,00:00:00
Locomotion,5,00:00:30.8980518
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,3,00:00:41.2305751
Present,0,00:00:00
Tactile/expl,0,00:00:00
Jumping,0,00:00:00
FearGrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,4,00:00:05.0039859
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:08.6952272
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
