Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,r14024
Indiv ID:,r14024
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,c420c9
Behavior Date:,2021-5-20
Behavior Time:,10:58 AM
Ethogram:,2021 bass.csv
Coding Began:,05/20/2021 11:03:53 AM
Coding Ended:,05/20/2021 11:08:56 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Inactive,11:03:53,00:00:32.3848760,00:00:32.3848760
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Locomotion,11:04:26,00:00:03.7595075,00:00:36.1443835
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Inactive,11:04:30,00:00:48.1031535,00:01:24.2475370
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Locomotion,11:05:18,00:00:21.7322888,00:01:45.9798258
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Inactive,11:05:39,00:00:07.9201334,00:01:53.8999592
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Locomotion,11:05:47,00:00:08.3324015,00:02:02.2323607
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Inactive,11:05:56,00:01:11.8345235,00:03:14.0668842
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Locomotion,11:07:07,00:00:13.9060415,00:03:27.9729257
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Inactive,11:07:21,00:00:56.9961969,00:04:24.9691226
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Locomotion,11:08:18,00:00:03.3863125,00:04:28.3554351
mr,r14024,Group,c420c9,2021-5-20,1.0.46.0,Inactive,11:08:22,00:00:32.6680799,00:05:01.0235150

BehavCode, Occurrences, totalTime
Inactive,6,00:04:09.9069632
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,5,00:00:51.1165518
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
