Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r15013
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,c327c7
Behavior Date:,2021-5-11
Behavior Time:,12:06 PM
Ethogram:,2021 bass.csv
Coding Began:,05/11/2021 12:07:01 PM
Coding Ended:,05/11/2021 12:12:07 PM
Session duration:,00:05:06
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Inactive,12:07:01,00:00:25.0876522,00:00:25.0876522
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Groom,12:07:26,00:00:20.5174882,00:00:45.6051404
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Inactive,12:07:47,00:00:28.9427858,00:01:14.5479262
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Tactile/explore,12:08:16,00:00:04.1210747,00:01:18.6690009
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Inactive,12:08:20,00:00:24.4932343,00:01:43.1622352
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Locomotion,12:08:44,00:00:05.5481750,00:01:48.7104102
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Groom,12:08:50,00:00:35.9187679,00:02:24.6291781
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Locomotion,12:09:26,00:00:12.5083231,00:02:37.1375012
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Pacing,12:09:38,00:00:09.0071405,00:02:46.1446417
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Locomotion,12:09:47,00:00:08.9830494,00:02:55.1276911
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Pacing,12:09:56,00:00:10.5833484,00:03:05.7110395
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Tactile/explore,12:10:07,00:00:08.1247812,00:03:13.8358207
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Pacing,12:10:15,00:00:30.6407532,00:03:44.4765739
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Locomotion,12:10:45,00:00:08.6517765,00:03:53.1283504
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Tactile/explore,12:10:54,00:00:14.9673732,00:04:08.0957236
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Pacing,12:11:09,00:00:28.5895110,00:04:36.6852346
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Inactive,12:11:38,00:00:11.3509621,00:04:48.0361967
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Tactile/explore,12:11:49,00:00:04.8407950,00:04:52.8769917
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Scratch,12:11:54,00:00:05.1288297,00:04:58.0058214
mr,r15013,Pair,c327c7,2021-5-11,1.0.46.0,Tactile/explore,12:11:59,00:00:03.8379426,00:05:01.8437640

BehavCode, Occurrences, totalTime
Inactive,4,00:01:29.8746344
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,4,00:00:35.6913240
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,4,00:01:18.8207531
Present,0,00:00:00
Tactile/explore,5,00:00:35.8919667
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:05.1288297
Groom,2,00:00:56.4362561
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
