Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r15041
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,mr1551c4
Behavior Date:,2021-6-9
Behavior Time:,02:09 PM
Ethogram:,2021 bass.csv
Coding Began:,06/09/2021 14:09:37 PM
Coding Ended:,06/09/2021 14:14:39 PM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r15041,Single,mr1551c4,2021-6-9,1.0.46.0,Groom,02:09:37,00:02:44.1533221,00:02:44.1533221
ta,r15041,Single,mr1551c4,2021-6-9,1.0.46.0,Scratch,02:12:21,00:00:02.6074393,00:02:46.7607614
ta,r15041,Single,mr1551c4,2021-6-9,1.0.46.0,Inactive,02:12:24,00:01:38.2198971,00:04:24.9806585
ta,r15041,Single,mr1551c4,2021-6-9,1.0.46.0,Groom,02:14:02,00:00:36.0537127,00:05:01.0343712

BehavCode, Occurrences, totalTime
Inactive,1,00:01:38.2198971
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:02.6074393
Groom,2,00:03:20.2070348
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
