Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r15081
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a270c16
Behavior Date:,2021-5-27
Behavior Time:,10:45 AM
Ethogram:,2021 bass.csv
Coding Began:,05/27/2021 10:46:30 AM
Coding Ended:,05/27/2021 10:51:32 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r15081,Single,a270c16,2021-5-27,1.0.46.0,Eat/drink,10:46:30,00:01:00.9002698,00:01:00.9002698
ta,r15081,Single,a270c16,2021-5-27,1.0.46.0,Locomotion,10:47:31,00:00:03.1685886,00:01:04.0688584
ta,r15081,Single,a270c16,2021-5-27,1.0.46.0,Groom,10:47:34,00:00:25.0240641,00:01:29.0929225
ta,r15081,Single,a270c16,2021-5-27,1.0.46.0,Inactive,10:47:59,00:03:31.6311452,00:05:00.7240677

BehavCode, Occurrences, totalTime
Inactive,1,00:03:31.6311452
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:03.1685886
Aggression,0,00:00:00
Eat/drink,1,00:01:00.9002698
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:25.0240641
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
